stable_usage_key,choice_priority,territory,kind,celebration_id,mass_form,season,week,weekday,special_day,sunday_cycle,weekday_cycle,lectionary_number,reference_normalized,response_text,source_catalog,nigeria_selection_id,nigeria_source_date,gallery_source_url,gallery_text_edition,rsvce_selection_id,text_source_id,display_edition,resolution_status,review_notes
NG|celebration|all_saints|day||,2,NG,celebration,all_saints,day,,,,,,,,"ps24:1b-2,3-4ab,5-6","These are the people who seek your face, O Lord.",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/011124/,Douay-Rheims,ps24_1b_2_3_4ab_5_6,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|all_saints|day||,3,NG,celebration,all_saints,day,,,,,,,,ps24:1-6,Let the Lord enter; he is king of glory.,memorial_feasts.csv,,,,,local_rsvce:expanded:6b79b254c9f7731c,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|all_souls|day||,1,NG,celebration,all_souls,day,,,,,,,,"ps23:1-3,4,5,6","The Lord is my shepherd, there is nothing I shall want.",nigeria_psalm_usage_assignments.csv,ng:2026-11-02:responsorial-psalm:1,2026-11-02,,,ps23_1_3_4_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|celebration|all_souls|day||,2,NG,celebration,all_souls,day,,,,,,,,"ps23:1-3a,3b-4,5,6",The Lord is my shepherd; there is nothing I shall want.,nigeria_2024_2025_usage_assignments.csv,ng:2026-03-15:responsorial-psalm:1,2026-03-15,https://www.catholicgallery.org/mass-reading/021124/,Douay-Rheims,ps23_1_3a_3b_4_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|celebration|andrew_apostle|day||,1,NG,celebration,andrew_apostle,day,,,,,,,,"ps19:2-3,4-5",Their sound goes forth through all the earth.,nigeria_psalm_usage_assignments.csv,ng:2026-09-21:responsorial-psalm:1,2026-09-21,,,ps19_2_3_4_5,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|celebration|andrew_apostle|day||,2,NG,celebration,andrew_apostle,day,,,,,,,,ps19:2-5,Their message goes out through all the earth.,memorial_feasts.csv,,,,,local_rsvce:expanded:fd798836a98af69e,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|angela_merici|day||,1,NG,celebration,angela_merici,day,,,,,,,,"ps148:1-2,11-13a,13c-14","Young men and women,",memorial_feasts.csv,,,,,local_rsvce:expanded:29e4357bb27cb4e9,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|angela_merici|day||,2,NG,celebration,angela_merici,day,,,,,,,,"ps45:10-11,13b-14,15-16",The bridegroom is here;,memorial_feasts.csv,,,,,ps45_10_11_13b_14_15_16,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|annunciation_of_the_lord|day||,1,NG,celebration,annunciation_of_the_lord,day,,,,,,,,"ps40:7-8a,8b-9,10,11","See, I have come, Lord, to do your will.",nigeria_psalm_usage_assignments.csv,ng:2026-03-25:responsorial-psalm:1,2026-03-25,https://www.catholicgallery.org/mass-reading/080424/,Douay-Rheims,ps40_7_8a_8b_9_10_11,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|celebration|anselm_of_canterbury|day||,1,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps106:19-20,21-22,23","Lord, remember us, for the love you bear your people.",memorial_feasts.csv,,,,,ps106_19_20_21_22_23,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|anselm_of_canterbury|day||,2,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps110:1-2,3,4","You are a priest for ever, in the line of Melchizedek.",memorial_feasts.csv,,,,,local_rsvce:expanded:9147f45b3f3d63c3,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|anselm_of_canterbury|day||,3,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps117:1,2",Go out to all the world and tell the good news.,memorial_feasts.csv,ng:reconstructed:73d92e286a6fb381,,,,ps117_1_2,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|celebration|anselm_of_canterbury|day||,4,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps16:1-2a1-2a+5,7-8,11","You are my inheritance, O Lord.",memorial_feasts.csv,,,,,local_rsvce:expanded:acdd2b509ed6230c,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|anselm_of_canterbury|day||,5,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps23:1-3a,3b-4,5,6",The Lord is my shepherd; there is nothing I shall want.,memorial_feasts.csv,ng:2026-03-15:responsorial-psalm:1,2026-03-15,,,ps23_1_3a_3b_4_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|celebration|anselm_of_canterbury|day||,6,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps40:1+3ab,6,7-8,9","Here am I, Lord; I come to do your will.",memorial_feasts.csv,,,,,local_rsvce:expanded:a6f3121c52e20e28,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|anselm_of_canterbury|day||,7,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps89:1-2,3-4,20-21,24+26",For ever I will sing the goodness of the Lord.,memorial_feasts.csv,,,,,local_rsvce:expanded:556f9b30cb1e8359,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|anselm_of_canterbury|day||,8,NG,celebration,anselm_of_canterbury,day,,,,,,,,"ps96:1-2a,2b-3,7-8a,10",Proclaim God’s marvellous deeds to all the nations.,memorial_feasts.csv,,,,,ps96_1_2a_2b_3_7_8a_10,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|ansgar_of_hamburg|day||,1,NG,celebration,ansgar_of_hamburg,day,,,,,,,,"ps106:19-20,21-22,23","Lord, remember us, for the love you bear your people.",memorial_feasts.csv,,,,,ps106_19_20_21_22_23,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|ansgar_of_hamburg|day||,2,NG,celebration,ansgar_of_hamburg,day,,,,,,,,"ps110:1-2,3,4","You are a priest for ever, in the line of Melchizedek.",memorial_feasts.csv,,,,,local_rsvce:expanded:9147f45b3f3d63c3,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
