source,day_label,type,reference,problems,db_first_verse,csv_incipit,index_source_file,index_raw_header_ref,candidate_first_line,candidate_source,quality_notes
standard,Ordinary Time/31/Friday/II,gospel,Luke 16:1-8,raw_verse_pronoun:he,"He also said to the disciples, ""There was a rich man who had a steward, and charges were brought to him that this man was wasting his goods.",,weekday_b,Luke 16.1-8,"Jesus said to the disciples,",weekday_b,from weekday_b
standard,Ordinary Time/32/Sunday/B,first_reading,1 Kgs 17:10-16,pronoun_after_incipit:he,"So he arose and went to Zarephath; and when he came to the gate of the city, behold, a widow was there gathering sticks; and he called to her and said, ""Bring me a little water in a vessel, that I may drink.""",,sunday,1 Kgs 17:10-16,,,from sunday; reject:too_long
standard,Ordinary Time/32/Sunday/C,first_reading,"2 Macc 7:1-2, 9-14",pronoun_after_incipit:it,"It happened also that seven brothers and their mother were arrested and were being compelled by the king, under torture with whips and cords, to partake of unlawful swine's flesh.",,,,,,no index match
standard,Ordinary Time/32/Thursday/I,gospel,Luke 17:20-25,raw_verse_lowercase; verse_number_in_rendered,"Being asked by the Pharisees when the kingdom of God was coming, he answered them, ""The kingdom of God is not coming with signs to be observed;","will bear much fruit.,494,Wisdom",weekday_b,Luke 17.20-25,"Once Jesus was asked by the Pharisees when the kingdom of God was coming,",weekday_b,from weekday_b
standard,Ordinary Time/32/Thursday/II,gospel,Luke 17:20-25,raw_verse_lowercase; verse_number_in_rendered,"Being asked by the Pharisees when the kingdom of God was coming, he answered them, ""The kingdom of God is not coming with signs to be observed;","will bear much fruit.,494,I have indeed received much joy and encouragement from your love",weekday_b,Luke 17.20-25,"Once Jesus was asked by the Pharisees when the kingdom of God was coming,",weekday_b,from weekday_b
standard,Ordinary Time/32/Saturday/I,first_reading,Wis 18:14-16; 19.6-9,raw_verse_conjunction:while; verse_number_in_rendered,"For while gentle silence enveloped all things,","While gentle silence enveloped all things,",,,,,no index match
standard,Ordinary Time/33/Sunday/B,first_reading,Dan 12:1-3,pronoun_after_incipit:he,"And he shall pitch his palatial tents between the sea and the glorious holy mountain; yet he shall come to his end, with none to help him. ""At that time shall arise Michael, the great prince who has charge of your people. And there shall be a time of trouble, such as never has been since there was a nation till that time; but at that time your people shall be delivered, every one whose name shall be found written in the book.",,,,,,no index match
standard,Ordinary Time/33/Thursday/I,first_reading,1 Maccabees 2:15-29,raw_verse_conjunction:then; verse_number_in_rendered; no_incipit_problematic_verse:then,Then the king's officers who were enforcing the apostasy came to the city of Modein to make them offer sacrifice.,,weekday_b,1 Maccabees 2.15-29,The king’s officers who were enforcing the apostasy,weekday_b,from weekday_b
standard,Ordinary Time/33/Thursday/II,first_reading,Revelation 5:1-10,raw_verse_conjunction:and; no_incipit_problematic_verse:and,"And I saw in the right hand of him who was seated on the throne a scroll written within and on the back, sealed with seven seals;",,weekday_b,Revelation 5.1-10,"In my vision, I, John saw in the right hand of the one seated on the throne",weekday_b,from weekday_b
standard,Lent/1/Wednesday/I/II,first_reading,Jonah 3:1-10,raw_verse_conjunction:then,"Then the word of the LORD came to Jonah the second time, saying,",,weekday_a,Jonah 3.1-10,"The word of the Lord came to Jonah at second time, saying:",weekday_a,from weekday_a
