normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
"1 corinthians 15:35-37, 42-50",weekday_b,first_reading,"1 Corinthians 15.35-37, 42-50++","Some will ask, ""How are the dead raised?",weekday_direct,100,701
1 corinthians 15:45-49,sunday,second_reading,1 Cor 15:45-49,"It is written, The first man, Adam, became a living being, the last Adam a life-giving spirit.",sunday_column_right,100,149
1 corinthians 15:54-58,sunday,second_reading,1 Cor 15:54-58,"When this which is corruptible clothes itself with incorruptibility and this which is mortal clothes itself with immortality,",sunday_column_left,100,152
1 corinthians 15:54b-57,sunday,second_reading,1 Cor 15:54b-57,"When that which is mortal clothes itself with immortality, then the word that is written shall come about:",sunday_column_left,100,255
1 corinthians 1:1-9,weekday_b,first_reading,1 Corinthians 1.1-9,"From Paul, called to be an apostle of Christ Jesus",weekday_direct,100,657
"1 corinthians 1:10-13, 17",sunday,second_reading,"1 Cor 1:10-13, 17","I URGE you, brothers and sisters, in the name of our Lord Jesus Christ, that all of you agree in what you say,",sunday_column_left,100,135
1 corinthians 1:17-25,weekday_b,first_reading,1 Corinthians 1.17-25,"Brothers and sisters, Christ did not send me to baptize",weekday_direct,100,659
1 corinthians 1:18-22,sunday,second_reading,1 Cor 1:18-22,"As God is faithful, our word to you is not ""yes"" and ""no.""",sunday_column_left,100,148
1 corinthians 1:22-25,sunday,second_reading,1 Cor 1:22-25,"Jews demand signs and Greeks look for wisdom, but we proclaim Christ crucified,",sunday_column_right,100,54
1 corinthians 1:26-31,weekday_b,first_reading,1 Corinthians 1.26-31,"Consider your own call, brothers and sisters:",weekday_direct,100,661
1 corinthians 1:26-31,sunday,second_reading,1 Cor 1:26-31,"CONSIDER your own calling, brothers and sisters. Not many of you were wise by human standards,",sunday_column_left,100,138
1 corinthians 1:3-9,sunday,second_reading,1 Cor 1:3-9,Grace to you and peace from God our Father and the Lord Jesus Christ.,sunday_column_left,100,16
1 corinthians 2:1-5,weekday_b,first_reading,1 Corinthians 2.1-5,"When I came to you, brothers and sisters,",weekday_direct,100,665
1 corinthians 2:1-5,sunday,second_reading,1 Cor 2:1-5,"WHEN I came to you, brothers and sisters, proclaiming the mystery of God,",sunday_column_left,100,141
1 corinthians 2:10b-16,weekday_b,first_reading,1 Corinthians 2.10b-16,"Brothers and sisters, the Spirit searches everything, even the depths of God.",weekday_direct,100,667
1 corinthians 2:6-10,sunday,second_reading,1 Cor 2:6-10,"We speak a wisdom to those who are mature, not a wisdom of this age,",sunday_column_left,100,144
1 corinthians 3:1-9,weekday_b,first_reading,1 Corinthians 3.1-9,"Brothers and sisters,",weekday_direct,100,669
