normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
acclamati o n luke 21:36,weekday_b,gospel,ACCLAMATI O N Luke 21.36,"Jesus said to the disciples: ""Be dressed for action and have your lamps lit;",weekday_direct,100,348
acclamati o n luke 21:36,weekday_b,gospel,ACCLAMATI O N Luke 21.36,"Jesus spoke to his disciples about the end which is to come. He said, ""Be on guard so that your hearts are not weighed down",weekday_direct,100,429
acclamati o n luke 21:36,weekday_b,gospel,ACCLAMATI O N Luke 21.36,"Jesus said to the disciples: ""Be dressed for action and have your lamps lit;",weekday_direct,100,754
"acclamati o n luke 24:46, 26",weekday_a,gospel,"ACCLAMATI O N Luke 24.46, 26","When the hour had come to depart from this world and go to the Father, Jesus said to the disciples: ""Peace I leave with you; my peace I give to you.",weekday_direct,100,565
acclamati o n luke 2:32,weekday_a,gospel,ACCLAMATI O N Luke 2.32,When the time came for their purification,weekday_direct,100,75
"acclamati o n luke 3:4, 6",weekday_a,gospel,"ACCLAMATI O N Luke 3.4, 6","After the transfiguration, as Jesus and the disciples were coming down the mountain, the disciples asked him,",weekday_direct,100,32
acclamati o n luke 4:18,weekday_a,gospel,ACCLAMATI O N Luke 4.18,"Jesus and the disciples got into a boat and went off to a deserted place. But many people hurried there before them, so that as Jesus went ashore, he saw a great crowd;",weekday_direct,100,98
acclamati o n luke 4:18,weekday_a,gospel,ACCLAMATI O N Luke 4.18,Jesus went out beside the sea;,weekday_direct,100,258
acclamati o n luke 4:18,weekday_b,gospel,ACCLAMATI O N Luke 4.18,After leaving the synagogue Jesus entered Simon's house.,weekday_direct,100,259
acclamati o n luke 4:18,weekday_b,gospel,ACCLAMATI O N Luke 4.18,"Jesus went about all the cities and villages,",weekday_direct,100,887
acclamati o n luke 6:23ab,weekday_b,gospel,ACCLAMATI O N Luke 6.23ab,Jesus looked up at his disciples and said:,weekday_direct,100,271
acclamati o n luke 6:23ab,weekday_b,gospel,ACCLAMATI O N Luke 6.23ab,Jesus looked up at his disciples and said:,weekday_direct,100,682
acclamati o n luke 7:16,weekday_a,gospel,ACCLAMATI O N Luke 7.16,"There was a wedding in Cana of Galilee,",weekday_direct,100,93
acclamati o n luke 7:16,weekday_a,gospel,ACCLAMATI O N Luke 7.16,"When Jesus returned to Capernaum after some days,",weekday_direct,100,119
acclamati o n luke 7:16,weekday_a,gospel,ACCLAMATI O N Luke 7.16,"Jesus and the disciples came to the other side of the sea,",weekday_direct,100,151
acclamati o n luke 7:16,weekday_a,gospel,ACCLAMATI O N Luke 7.16,"When Jesus returned to Capernaum after some days,",weekday_direct,100,255
acclamati o n luke 7:16,weekday_a,gospel,ACCLAMATI O N Luke 7.16,"Jesus and the disciples came to the other side of the sea,",weekday_direct,100,292
acclamati o n luke 7:16,weekday_b,gospel,ACCLAMATI O N Luke 7.16,"Jesus went down to Capernaum, a city in Galilee,",weekday_direct,100,257
acclamati o n luke 7:16,weekday_b,gospel,ACCLAMATI O N Luke 7.16,"Jesus went to a town called Nain,",weekday_direct,100,281
acclamati o n luke 7:16,weekday_b,gospel,ACCLAMATI O N Luke 7.16,Jesus went to the district of Tyre and Sidon.,weekday_direct,100,610
acclamati o n luke 7:16,weekday_b,gospel,ACCLAMATI O N Luke 7.16,"Jesus went down to Capernaum, a city in Galilee,",weekday_direct,100,668
acclamati o n luke 7:16,weekday_b,gospel,ACCLAMATI O N Luke 7.16,"Jesus went to a town called Nain,",weekday_direct,100,693
acclamati o n luke 8:15,weekday_b,gospel,ACCLAMATI O N Luke 8.15,"Jesus said to his disciples: ""Hear then the parable of the sower.",weekday_direct,100,583
acclamati o n mark 10:45,weekday_a,gospel,ACCLAMATI O N Mark 10.45,"Jesus and the disciples were on the road, going up to Jerusalem,",weekday_direct,100,214
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,"Jesus and the disciples were on the road, going up to Jerusalem,",weekday_direct,100,39
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,"Once when Jesus was praying alone, with only the disciples near him,",weekday_direct,100,300
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,An argument arose among the disciples,weekday_direct,100,304
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,"When the days drew near for Jesus to be taken up,",weekday_direct,100,306
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,"Once when Jesus was praying alone, with only the disciples near him,",weekday_direct,100,712
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,An argument arose among the disciples,weekday_direct,100,717
acclamati o n mark 10:45,weekday_b,gospel,ACCLAMATI O N Mark 10.45,"When the days drew near for Jesus to be taken up,",weekday_direct,100,719
acclamati o n mark 16:15,weekday_a,gospel,ACCLAMATI O N Mark 16.15,"Jesus went about all the cities and villages,",weekday_direct,100,686
acclamati o n mark 1:15,weekday_a,gospel,ACCLAMATI O N Mark 1.15,"Now after John was arrested,",weekday_direct,100,111
acclamati o n mark 1:15,weekday_a,gospel,ACCLAMATI O N Mark 1.15,Jesus called the twelve,weekday_direct,100,159
acclamati o n mark 1:15,weekday_a,gospel,ACCLAMATI O N Mark 1.15,"Now after John was arrested,",weekday_direct,100,245
acclamati o n mark 1:15,weekday_a,gospel,ACCLAMATI O N Mark 1.15,Jesus called the twelve,weekday_direct,100,301
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,"Jesus said to his disciples: ""As you go, proclaim the good news,",weekday_direct,100,136
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,From among the disciples the Lord appointed seventy,weekday_direct,100,311
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,Jesus summoned his twelve disciples,weekday_direct,100,553
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,"Jesus said to his disciples: ""As you go, proclaim the good news,",weekday_direct,100,555
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,Jesus called the twelve together,weekday_direct,100,708
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,From among the disciples the Lord appointed seventy,weekday_direct,100,722
acclamati o n mark 1:15,weekday_b,gospel,ACCLAMATI O N Mark 1.15,Jesus called the twelve together,weekday_direct,100,888
acclamati o n matthew 11:25,weekday_b,gospel,ACCLAMATI O N Matthew 11.25,"The seventy disciples returned with joy, saying,",weekday_direct,100,315
acclamati o n matthew 11:25,weekday_b,gospel,ACCLAMATI O N Matthew 11.25,"Jesus said,",weekday_direct,100,361
acclamati o n matthew 11:25,weekday_b,gospel,ACCLAMATI O N Matthew 11.25,"At that time Jesus said,",weekday_direct,100,567
acclamati o n matthew 11:25,weekday_b,gospel,ACCLAMATI O N Matthew 11.25,"Jesus said,",weekday_direct,100,768
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,"As Jesus was walking along,",weekday_direct,100,123
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,"Jesus said: ""Come to me, all you that are weary",weekday_direct,100,152
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,"One of the Pharisees asked Jesus to eat with him,",weekday_direct,100,285
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,All the tax collectors and sinners were coming near to listen to Jesus.,weekday_direct,100,378
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,"As Jesus was walking along,",weekday_direct,100,545
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,"Jesus said: ""Come to me, all you that are weary",weekday_direct,100,569
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,All the tax collectors and sinners were coming near to listen to Jesus.,weekday_direct,100,785
acclamati o n matthew 11:28,weekday_b,gospel,ACCLAMATI O N Matthew 11.28,"When Jesus saw the crowds, he went up the mountain;",weekday_direct,100,942
acclamati o n matthew 13:1-9,weekday_b,gospel,ACCLAMATI O N Matthew 13.1-9,One day Jesus went out of the house and sat beside the sea.,weekday_direct,100,579
acclamati o n matthew 16:18,weekday_a,gospel,ACCLAMATI O N Matthew 16.18,"When Jesus came into the district of Caesarea Philippi,",weekday_direct,100,648
acclamati o n matthew 16:18,weekday_b,gospel,ACCLAMATI O N Matthew 16.18,"When Jesus came into the district of Caesarea Philippi,",weekday_direct,100,201
acclamati o n matthew 16:18,weekday_b,gospel,ACCLAMATI O N Matthew 16.18,"When Jesus came into the district of Caesarea Philippi,",weekday_direct,100,612
acclamati o n matthew 17:5c,weekday_b,gospel,ACCLAMATI O N Matthew 17.5c,Jesus took with him Peter and James and his brother John,weekday_direct,100,890
"acclamati o n matthew 23:9b, 10b",weekday_b,gospel,"ACCLAMATI O N Matthew 23.9b, 10b","Jesus said to the crowds and to his disciples,",weekday_direct,100,650
"acclamati o n matthew 24:42a, 44",weekday_b,gospel,"ACCLAMATI O N Matthew 24.42a, 44","Jesus spoke to his disciples: ""Keep awake,",weekday_direct,100,247
"acclamati o n matthew 24:42a, 44",weekday_b,gospel,"ACCLAMATI O N Matthew 24.42a, 44","Jesus said to the disciples: ""Know this:",weekday_direct,100,350
"acclamati o n matthew 24:42a, 44",weekday_b,gospel,"ACCLAMATI O N Matthew 24.42a, 44",Jesus looked up,weekday_direct,100,415
"acclamati o n matthew 24:42a, 44",weekday_b,gospel,"ACCLAMATI O N Matthew 24.42a, 44","Jesus spoke to his disciples: ""Keep awake,",weekday_direct,100,658
"acclamati o n matthew 24:42a, 44",weekday_b,gospel,"ACCLAMATI O N Matthew 24.42a, 44",Jesus looked up,weekday_direct,100,820
"acclamati o n matthew 28:19a, 20b",weekday_b,gospel,"ACCLAMATI O N Matthew 28.19a, 20b","Jesus sent the twelve out with the following instructions, ""As you go, proclaim the good news,",weekday_direct,100,857
acclamati o n matthew 4:16,weekday_a,gospel,ACCLAMATI O N Matthew 4.16,"Jesus and his disciples went into the Judean countryside,",weekday_direct,100,107
acclamati o n matthew 4:17,weekday_a,gospel,ACCLAMATI O N Matthew 4.17,"Jesus spoke to his disciples and sternly ordered them not to tell anyone: ""The Son of Man must undergo great suffering,",weekday_direct,100,382
acclamati o n matthew 4:19,weekday_a,gospel,ACCLAMATI O N Matthew 4.19,"As Jesus walked by the Sea of Galilee, he saw two brothers,",weekday_direct,100,610
acclamati o n matthew 4:19,weekday_b,gospel,ACCLAMATI O N Matthew 4.19,"Once while Jesus was standing beside the lake of Gennesaret,",weekday_direct,100,261
acclamati o n matthew 4:19,weekday_b,gospel,ACCLAMATI O N Matthew 4.19,"As Jesus walked by the Sea of Galilee, he saw two brothers,",weekday_direct,100,954
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,"Now when Jesus heard that John had been arrested,",weekday_direct,100,96
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,"When Jesus was in one of the cities,",weekday_direct,100,105
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,"A man with leprosy came to Jesus begging him,",weekday_direct,100,117
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,"Jesus entered the synagogue,",weekday_direct,100,128
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,Jesus and the disciples crossed over the lake,weekday_direct,100,167
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,"A man with leprosy came to Jesus begging him,",weekday_direct,100,253
acclamati o n matthew 4:23,weekday_a,gospel,ACCLAMATI O N Matthew 4.23,"Jesus entered the synagogue,",weekday_direct,100,266
acclamati o n matthew 4:4b,weekday_a,gospel,ACCLAMATI O N Matthew 4.4b,"As there was a great crowd without anything to eat,",weekday_direct,100,320
acclamati o n matthew 4:4b,weekday_a,gospel,ACCLAMATI O N Matthew 4.4b,"When the disciples had gathered around Jesus on the hillside, he began to teach them: ""When you are praying,",weekday_direct,100,394
acclamati o n matthew 4:4b,weekday_a,gospel,ACCLAMATI O N Matthew 4.4b,Jesus went about in Galilee.,weekday_direct,100,457
acclamati o n matthew 5:10,weekday_a,gospel,ACCLAMATI O N Matthew 5.10,"Jesus said to his disciples: ""You will be hated by all because of my name.",weekday_direct,100,674
acclamati o n matthew 5:10,weekday_b,gospel,ACCLAMATI O N Matthew 5.10,"Jesus said to his disciples: ""Do not think that I have come to bring peace to the earth;",weekday_direct,100,144
acclamati o n matthew 5:10,weekday_b,gospel,ACCLAMATI O N Matthew 5.10,Herod the ruler heard reports about Jesus;,weekday_direct,100,187
acclamati o n matthew 5:10,weekday_b,gospel,ACCLAMATI O N Matthew 5.10,"Jesus told his disciples,",weekday_direct,100,204
acclamati o n matthew 5:10,weekday_b,gospel,ACCLAMATI O N Matthew 5.10,"Jesus said to his disciples: ""Do not think that I have come to bring peace to the earth;",weekday_direct,100,562
acclamati o n matthew 5:10,weekday_b,gospel,ACCLAMATI O N Matthew 5.10,Herod the ruler heard reports about Jesus;,weekday_direct,100,600
acclamati o n matthew 5:12a,weekday_b,gospel,ACCLAMATI O N Matthew 5.12a,"When Jesus saw the crowds, he went up the mountain;",weekday_direct,100,68
acclamati o n matthew 5:12a,weekday_b,gospel,ACCLAMATI O N Matthew 5.12a,"When Jesus saw the crowds, he went up the mountain;",weekday_direct,100,491
acclamati o n matthew 5:16,weekday_b,gospel,ACCLAMATI O N Matthew 5.16,"Jesus said to his disciples: ""You are the salt of the earth;",weekday_direct,100,70
acclamati o n matthew 5:16,weekday_b,gospel,ACCLAMATI O N Matthew 5.16,"Jesus said to the people: ""No one after lighting a lamp hides it under a jar,",weekday_direct,100,292
acclamati o n matthew 5:16,weekday_b,gospel,ACCLAMATI O N Matthew 5.16,"Jesus said to his disciples: ""You are the salt of the earth;",weekday_direct,100,493
acclamati o n matthew 5:16,weekday_b,gospel,ACCLAMATI O N Matthew 5.16,"Jesus said to the people: ""No one after lighting a lamp hides it under a jar,",weekday_direct,100,705
acclamati o n matthew 5:3,weekday_b,gospel,ACCLAMATI O N Matthew 5.3,"Jesus said to his disciples: ""Do not store up for yourselves treasures on earth,",weekday_direct,100,90
acclamati o n matthew 5:3,weekday_b,gospel,ACCLAMATI O N Matthew 5.3,"When Jesus was teaching the crowd, he said,",weekday_direct,100,488
acclamati o n matthew 5:3,weekday_b,gospel,ACCLAMATI O N Matthew 5.3,"Jesus said to his disciples: ""Do not store up for yourselves treasures on earth,",weekday_direct,100,515
acclamati o n matthew 5:3,weekday_b,gospel,ACCLAMATI O N Matthew 5.3,"A man came to Jesus and said,",weekday_direct,100,637
acclamati o n matthew 8:17,weekday_a,gospel,ACCLAMATI O N Matthew 8.17,"When Jesus had crossed in the boat to the other side,",weekday_direct,100,154
acclamati o n matthew 8:17,weekday_b,gospel,ACCLAMATI O N Matthew 8.17,"When Jesus had come down from the mountain,",weekday_direct,100,106
acclamati o n matthew 8:17,weekday_b,gospel,ACCLAMATI O N Matthew 8.17,"When Jesus entered Capernaum, a centurion came to him,",weekday_direct,100,108
acclamati o n matthew 8:17,weekday_b,gospel,ACCLAMATI O N Matthew 8.17,"When Jesus entered Capernaum, a centurion came to him,",weekday_direct,100,533
acclamati o n philippians 2:15-16,weekday_b,gospel,ACCLAMATI O N Philippians 2.15-16,"Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,500
acclamati o n philippians 3:8-9,weekday_b,gospel,ACCLAMATI O N Philippians 3.8-9,"As Jesus and his disciples were going along the road, someone said to him,",weekday_direct,100,308
acclamati o n proverbs 8:14,weekday_a,gospel,ACCLAMATI O N Proverbs 8.14,"There was a wedding in Cana of Galilee,",weekday_direct,100,667
acclamati o n ps 36:9,weekday_a,gospel,ACCLAMATI O N Ps 36.9,"Jesus said to his disciples: ""Very truly, I tell you,",weekday_direct,100,646
acclamati o n psalm 103:21,weekday_b,gospel,ACCLAMATI O N Psalm 103.21,"When Jesus saw Nathanael coming toward him, he said of him,",weekday_direct,100,923
acclamati o n psalm 103:21,weekday_b,gospel,ACCLAMATI O N Psalm 103.21,"The disciples came to Jesus and asked,",weekday_direct,100,927
acclamati o n psalm 118:24,weekday_a,gospel,ACCLAMATI O N Psalm 118.24,After Mary Magdalene and the other Mary had heard,weekday_direct,100,501
acclamati o n psalm 118:24,weekday_a,gospel,ACCLAMATI O N Psalm 118.24,"On the first day of the week,",weekday_direct,100,506
acclamati o n psalm 119:105,weekday_b,gospel,ACCLAMATI O N Psalm 119.105,"Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,81
acclamati o n psalm 119:105,weekday_b,gospel,ACCLAMATI O N Psalm 119.105,"Jesus said to his disciples: ""You have heard that it was said,",weekday_direct,100,505
acclamati o n psalm 119:135,weekday_b,gospel,ACCLAMATI O N Psalm 119.135,"Peter came to Jesus and said,",weekday_direct,100,628
"acclamati o n psalm 119:36a, 29b",weekday_a,gospel,"ACCLAMATI O N Psalm 119.36a, 29b",When the Pharisees and some of the scribes,weekday_direct,100,170
"acclamati o n psalm 119:36a, 29b",weekday_b,gospel,"ACCLAMATI O N Psalm 119.36a, 29b","Jesus said to his disciples: ""You have heard that it was said to those of ancient times,",weekday_direct,100,79
"acclamati o n psalm 119:36a, 29b",weekday_b,gospel,"ACCLAMATI O N Psalm 119.36a, 29b","Jesus said to his disciples: ""You have heard that it was said to those of ancient times,",weekday_direct,100,502
"acclamati o n psalm 129:5, 7",weekday_a,gospel,"ACCLAMATI O N Psalm 129.5, 7","Jesus came to Nazara and spoke to the people in the synagogue: And he said,",weekday_direct,100,427
acclamati o n psalm 130:5,weekday_b,gospel,ACCLAMATI O N Psalm 130.5,"Jesus got into a boat, and his disciples followed him.",weekday_direct,100,538
"acclamati o n psalm 25:4b, 5a",weekday_b,gospel,"ACCLAMATI O N Psalm 25.4b, 5a","When the Pharisees heard that Jesus had silenced the Sadducees,",weekday_direct,100,236
"acclamati o n psalm 25:4b, 5a",weekday_b,gospel,"ACCLAMATI O N Psalm 25.4b, 5a","When the Pharisees heard that Jesus had silenced the Sadducees,",weekday_direct,100,648
"acclamati o n psalm 25:4c, 5a",weekday_b,gospel,"ACCLAMATI O N Psalm 25.4c, 5a","Jesus said to the disciples,",weekday_direct,100,72
"acclamati o n psalm 25:4c, 5a",weekday_b,gospel,"ACCLAMATI O N Psalm 25.4c, 5a","Jesus said to the disciples,",weekday_direct,100,496
acclamati o n psalm 33:22,weekday_b,gospel,ACCLAMATI O N Psalm 33.22,"When the crowd had gathered by the thousands,",weekday_direct,100,341
acclamati o n psalm 33:22,weekday_b,gospel,ACCLAMATI O N Psalm 33.22,"When the crowd had gathered by the thousands,",weekday_direct,100,748
"acclamati o n psalm 51:10a, 12a",weekday_a,gospel,"ACCLAMATI O N Psalm 51.10a, 12a","Gathered on the hillside with the disciples, Jesus began to teach them: ""Ask, and it will be given you;",weekday_direct,100,398
"acclamati o n psalm 51:10a, 12a",weekday_a,gospel,"ACCLAMATI O N Psalm 51.10a, 12a","There was a festival of the Jews, and Jesus went up to Jerusalem.",weekday_direct,100,449
acclamati o n psalm 68:20,weekday_a,gospel,ACCLAMATI O N Psalm 68.20,Jesus came to his hometown,weekday_direct,100,673
acclamati o n psalm 84:8,weekday_a,gospel,ACCLAMATI O N Psalm 84.8,"When Jesus entered the temple,",weekday_direct,100,34
acclamati o n psalm 95:7-8,weekday_a,gospel,ACCLAMATI O N Psalm 95.7-8,"Jesus said to the disciples, ""Beware of practising your piety before others",weekday_direct,100,380
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"When Jesus saw great crowds around him,",weekday_direct,100,112
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,Jesus began to reproach the cities,weekday_direct,100,147
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,Once more Jesus spoke to the chief priests,weekday_direct,100,233
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"Jesus said to the seventy disciples: ""Woe to you, Chorazin!",weekday_direct,100,313
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"When the crowds were increasing, Jesus began to say,",weekday_direct,100,333
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"When Jesus saw great crowds around him,",weekday_direct,100,536
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,Jesus began to reproach the cities,weekday_direct,100,565
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"Some of the scribes and Pharisees said to Jesus,",weekday_direct,100,575
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,Once more Jesus spoke to the chief priests,weekday_direct,100,645
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"Jesus said to the seventy disciples: ""Woe to you, Chorazin!",weekday_direct,100,725
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"When the crowds were increasing, Jesus began to say,",weekday_direct,100,741
acclamati o n psalm 95:8,weekday_b,gospel,ACCLAMATI O N Psalm 95.8,"As Jesus came near Jerusalem and saw the city,",weekday_direct,100,814
acclamati o n psalm 95:8ab,weekday_a,gospel,ACCLAMATI O N Psalm 95.8ab,"Jesus said to the people, ""Very truly, I tell you,",weekday_direct,100,483
acclamati o n revelation 1:5ab,weekday_a,gospel,ACCLAMATI O N Revelation 1.5ab,Jesus began to speak to the high priests and the scribes in parables.,weekday_direct,100,362
acclamati o n revelation 2:10c,weekday_b,gospel,ACCLAMATI O N Revelation 2.10c,"When some were speaking about the temple,",weekday_direct,100,417
acclamati o n revelation 2:10c,weekday_b,gospel,ACCLAMATI O N Revelation 2.10c,"Jesus spoke to his disciples about the end which is to come. He said, ""Before all the tribulations occur,",weekday_direct,100,420
acclamati o n revelation 2:10c,weekday_b,gospel,ACCLAMATI O N Revelation 2.10c,"Jesus spoke to his disciples about the end which is to come. He said, ""Before all the tribulations occur,",weekday_direct,100,824
acclamati o n romans 8:15,weekday_b,gospel,ACCLAMATI O N Romans 8.15,"Jesus was praying in a certain place,",weekday_direct,100,324
acclamati o n romans 8:15,weekday_b,gospel,ACCLAMATI O N Romans 8.15,"Jesus said to his disciples: ""When you are praying,",weekday_direct,100,512
acclamati o n see 2 timothy 1:10,weekday_a,gospel,ACCLAMATI O N See 2 Timothy 1.10,"One of the scribes came near to Jesus and asked him,",weekday_direct,100,235
acclamati o n see 2 timothy 1:10,weekday_b,gospel,ACCLAMATI O N See 2 Timothy 1.10,"One of the scribes came near to Jesus and asked him,",weekday_direct,100,60
acclamati o n see 2 timothy 1:10,weekday_b,gospel,ACCLAMATI O N See 2 Timothy 1.10,"One of the scribes came near to Jesus and asked him,",weekday_direct,100,484
acclamati o n see ephesians 1:17-18,weekday_a,gospel,ACCLAMATI O N See Ephesians 1.17-18,Some Pharisees and some Herodians were sent to Jesus,weekday_direct,100,227
acclamati o n see ephesians 1:17-18,weekday_a,gospel,ACCLAMATI O N see Ephesians 1.17-18,Jesus and the disciples came to Bethsaida.,weekday_direct,100,326
acclamati o n see john 15:16,weekday_b,gospel,ACCLAMATI O N See John 15.16,"The mother of the sons of Zebedee came to Jesus with her sons,",weekday_direct,100,882
acclamati o n see john 15:16,weekday_b,gospel,ACCLAMATI O N See John 15.16,From among his disciples the Lord appointed seventy,weekday_direct,100,936
acclamati o n see luke 1:45,weekday_a,gospel,ACCLAMATI O N See Luke 1.45,Mary set out and went with haste,weekday_direct,100,691
acclamati o n see luke 2:19,weekday_a,gospel,ACCLAMATI O N See Luke 2.19,Ev e r y year the parents of Jesus went to Jerusalem,weekday_direct,100,693
acclamati o n see luke 2:19,weekday_b,gospel,ACCLAMATI O N See Luke 2.19,Ev e r y year the parents of Jesus went to Jerusalem,weekday_direct,100,853
acclamati o n see luke 2:25c,weekday_b,gospel,ACCLAMATI O N See Luke 2.25c,"Jesus said to his disciples: ""Blessed are your eyes, for they see,",weekday_direct,100,884
acclamati o n see luke 8:15,weekday_a,gospel,ACCLAMATI O N see Luke 8.15,"King Herod heard of the miracles of Jesus,",weekday_direct,100,161
acclamati o n see luke 8:15,weekday_a,gospel,ACCLAMATI O N see Luke 8.15,"King Herod heard of the miracles of Jesus,",weekday_direct,100,303
acclamati o n see luke 8:15,weekday_a,gospel,ACCLAMATI O N See Luke 8.15,"Jesus had been teaching in the temple at Jerusalem. When the people heard his words, some in the crowd said,",weekday_direct,100,459
acclamati o n see luke 8:15,weekday_a,gospel,ACCLAMATI O N See Luke 8:15,"Jesus said to the Jews who had believed in him,",weekday_direct,100,480
acclamati o n see mark 9:6,weekday_a,gospel,ACCLAMATI O N see Mark 9.6,"Jesus took with him Peter and James and John,",weekday_direct,100,332
acclamati o n see mark 9:6,weekday_b,gospel,ACCLAMATI O N See Mark 9.6,"Jesus took with him Peter and James and John,",weekday_direct,100,447
acclamati o n see mark 9:7,weekday_a,gospel,ACCLAMATI O N See Mark 9.7,"John the Baptist appeared in the wilderness,",weekday_direct,100,91
acclamati o n see matthew 11:25,weekday_a,gospel,ACCLAMATI O N See Matthew 11.25,The mother of Jesus and his brothers came to the house where he was,weekday_direct,100,278
acclamati o n see matthew 11:25,weekday_a,gospel,ACCLAMATI O N See Matthew 11.25,"Jesus told the people a parable,",weekday_direct,100,287
acclamati o n see matthew 11:25,weekday_a,gospel,ACCLAMATI O N see Matthew 11.25,People were bringing little children to Jesus,weekday_direct,100,346
acclamati o n see psalm 80:4,weekday_a,gospel,ACCLAMATI O N See Psalm 80.4,"When Jesus entered Capernaum,",weekday_direct,100,8
acclamation,weekday_a,gospel,ACCLAMATION,"After the wise men had left,",weekday_direct,100,73
acclamation,weekday_b,gospel,ACCLAMATION,Jesus left the crowds and went into the house.,weekday_direct,100,178
acclamation john 14:6,weekday_b,gospel,ACCLAMATION John 14.6,"One sabbath while Jesus was going through the grainfields,",weekday_direct,100,676
acclamation luke 21:36,weekday_b,gospel,ACCLAMATION Luke 21.36,"Jesus told this parable to his disciples: ""The kingdom of heaven will be like this.",weekday_direct,100,660
acclamation luke 4:18,weekday_b,gospel,ACCLAMATION Luke 4.18,After leaving the synagogue Jesus entered Simon's house.,weekday_direct,100,670
acclamation matthew 11:28,weekday_b,gospel,ACCLAMATION Matthew 11.28,"One of the Pharisees asked Jesus to eat with him,",weekday_direct,100,698
acclamation matthew 4:19,weekday_b,gospel,ACCLAMATION Matthew 4.19,"Once while Jesus was standing beside the lake of Gennesaret,",weekday_direct,100,672
acclamation psalm 118:24,weekday_a,gospel,ACCLAMATION Psalm 118.24,Jesus showed himself again to the disciples,weekday_direct,100,513
"acts 10:25-26, 34-35, 44-48",sunday,first_reading,"Acts 10:25-26, 34-35, 44-48","WHEN Peter entered, Cornelius met him and, falling at his feet, paid him homage.",sunday_column_left,100,105
acts 10:34-38,sunday,second_reading,Acts 10:34-38,"PETER proceeded to speak to those gathered in the house of Cornelius, saying:",sunday_column_left,100,41
"acts 10:34a, 37-43",sunday,first_reading,"Acts 10:34a, 37-43","PETER proceeded to speak and said: ""You know what has happened all over Judea,",sunday_column_left,100,91
acts 11:1-18,weekday_a,first_reading,Acts 11.1-18,Now the apostles and the believers who were in Judea,weekday_direct,100,546
acts 11:19-26,weekday_a,first_reading,Acts 11.19-26,Now those who were scattered because of the persecution,weekday_direct,100,550
acts 11:21b-26; 13.1-3,weekday_a,first_reading,Acts 11.21b-26; 13.1-3,"At Antioch,",weekday_direct,100,696
