Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,9,Saturday,II,,"Psalm 74.1-2, 3-5, 6-7, 20-21 (R.19b)","Lord, forget not the life of your poor ones.",Matthew 8.17,"Christ bore our sickness, and endured our suffering.",376
Ordinary Time,9,Monday,II,,"Psalm 50.16bc-17, 18-19, 20-21, 22-23 (R.22a)","Remember this, you who never think of God. To the wicked God says:",Psalm 95.8,If today you hear God’s voice harden not your hearts.,377
Ordinary Time,9,Tuesday,II,,"Psalm 5.4-5a, 5b-6, 7 (R.8a)","Lead me in your justice, Lord.",Psalm 130.5,"I hope in the Lord, I trust in his word.",378
Ordinary Time,9,Wednesday,II,,"Psalm 50.1a+7, 8-9, 10-11, 12-13, 16bc-17 (R.23b)",To the upright I will show the saving power of God.,James 1.18,"The Father gave us birth by his message of truth, that we might be as the firstfruits of his creation.",379
Ordinary Time,9,Thursday,II,,"Psalm 19.7, 8, 9, 10 (R.9b)","The judgments of the Lord are true, and all of them are just.",2 Corinthians 5.19,"God was in Christ, to reconcile the world to himself; the good news of reconciliation he has entrusted to us. 1466 THIRTEENTH WEEK IN ORDINARY TIME – YEAR II",380
Ordinary Time,9,Friday,II,,"Psalm 119.2+10, 20+30, 40+131 (R. see Mt 4.4)","No one lives on bread alone, but on every word that comes from the mouth of God.",Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",381
Ordinary Time,9,Saturday,II,,"Psalm 85.8, 10-11, 12-13 (R.8b)",The Lord speaks of peace to his people.,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",382
Ordinary Time,9,Monday,II,,"Psalm 145.2-3, 4-5, 6-7, 8-9 (R.8a)",The Lord is kind and merciful.,2 Timothy 1.10,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,383
Ordinary Time,9,Tuesday,II,,"Psalm 115.3-4, 5-6, 7-8, 9-10 (R.9a)",The house of Israel trusts in the Lord.,John 10.14,"I am the good shepherd, says the Lord; I know my sheep, and mine know me.",384
Ordinary Time,9,Wednesday,II,,"Psalm 105.2-3, 4-5, 6-7 (R.4b)",Seek always the face of the Lord.,Mark 1.15,"The kingdom of God is near, repent and believe the good news!",385
Ordinary Time,9,Thursday,II,,"Psalm 80.1-2, 14-15, 18-19 (R.3b)","Let us see your face, Lord, and we shall be saved.",Mark 1.15,"The kingdom of God is near, repent and believe the good news!",386
Ordinary Time,9,Friday,II,,"Psalm 51.1-2, 6-7, 10-11, 12+15",My mouth will declare your praise.,"John 13.13a, 14.26b","When the Spirit of truth comes, he will teach you all truth and bring to your mind all I have told you. FRIDAY 1481",387
Ordinary Time,9,Saturday,II,,"Psalm 93.1ab, 1c-2, 5 (R.1a)",The Lord is king; he is robed in majesty.,1 Peter 4.14,"If you are insulted for the name of Christ, blessed are you, for the Spirit of God rests on you. SATURDAY 1483",388
Ordinary Time,9,Monday,II,,"Psalm 50.8-9, 16bc-17, 21, 23 (R.23b)",To the upright I will show the saving power of God.,Matthew 5.10,Blessed are they who suffer persecution for justice’s sake; for the kingdom of heaven is theirs.,389
Ordinary Time,9,Tuesday,II,,"Psalm 48.1-2a, 2b-3, 4-5, 6-7 (R.8d)",God upholds his city for ever.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",390
Ordinary Time,9,Wednesday,II,,"Psalm 94.5-6, 7-8, 9-10, 14-15 (R.14a)",The Lord will not abandon his people.,Matthew 11.25,"Blessed are you Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",391
Ordinary Time,9,Thursday,II,,"Psalm 102.12-14, 15-17, 18-20 (R.19b)",From heaven the Lord looks down on the earth.,Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",392
Ordinary Time,9,Saturday,II,,"Psalm 10.1-2, 3-4, 7-8, 14 (R.12b)","Do not forget the poor, O Lord!",2 Corinthians 5.19,"God was in Christ, to reconcile the world to himself; and the good news of reconciliation he has entrusted to us.",394
Ordinary Time,9,Monday,II,,"Psalm 50.5-6, 8-9, 16bc-17, 21+23 (R.23b)",To the upright I will show the saving power of God.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",395
Ordinary Time,9,Tuesday,II,,"Psalm 85.1-3, 4-5, 6-7 (R.7a)","Lord, show us your mercy and love.",John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",396
Ordinary Time,9,Wednesday,II,,"Psalm 71.1-2, 3-4a, 5-6ab, 15ab+17 (R.15ab)",I will sing of your salvation.,Matthew 13.1-9,"The seed is the word of God, Christ is the sower; all who come to him will live for ever.",397
Ordinary Time,9,Thursday,II,,"Psalm 36.5-6, 7-8, 9-10 (R.9a)","You are the source of life, O Lord.",Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",398
Ordinary Time,9,Saturday,II,,"Psalm 84.2, 3, 4-5a+7a, 10 (R.1)","How lovely is your dwelling place, Lord, mighty God!",James 1.21,Receive and submit to the word planted in you; it can save your souls. SATURDAY 1509,400
Ordinary Time,9,Tuesday,II,,"Psalm 79.5+8, 9+11, 13 (R.9b)","For the glory of your name, O Lord, deliver us.",,"The seed is the word of God, Christ is the sower; all who come to him will live for ever.",402
Ordinary Time,9,Wednesday,II,,"Psalm 59.1-2, 3-4a, 9-10, 16, 17 (R.16d)",God is my refuge on the day of distress.,John 15.15,"I call you my friends, says the Lord, for I have made known to you all that the Father has told me. WEDNESDAY 1517",403
Ordinary Time,9,Thursday,II,,"Psalm 146.1-2, 3-4, 5-6 (R.5a)",Blest are they whose help is the God of Jacob.,Acts 16.14,"Open our hearts, O Lord, to listen to the words of your Son.",404
Ordinary Time,9,Friday,II,,"Psalm 69.1+4ab, 4cd+7, 8-9, 13 (R.13c)","Lord, in your great love, answer me.",1 Peter 1.25,"The word of the Lord stands for ever; it is the word given to you, the good news. FRIDAY 1521",405
Ordinary Time,9,Saturday,II,,"Psalm 69.14-15, 29-30, 32-33 (R. see 13)","Lord, in your great love, answer me.",Matthew 5.10,Blessed are they who suffer persecution for justice’ sake; the kingdom of heaven is theirs.,406
Ordinary Time,9,Monday,II,,"Psalm 119.29+43, 79-80, 95+102 (R.86b)","Teach me your laws, O Lord.",John 1.49,"Master, you are the Son of God, you are the king of Israel.",407
Ordinary Time,9,Tuesday,II,,"Psalm 102.15-17, 18-20, 28+21-22 (R.16)","The Lord will build up Zion again, and appear in all his glory.",John 1.49,"Master, you are the Son of God, you are the king of Israel.",408
Ordinary Time,9,Thursday,II,,"Psalm 51.10-11, 12-13, 16-17","Create a clean heart in me, O God.",Matthew 16.18,"You are Peter, the rock on which I will build my Church; the gates of hell will not hold against it.",410
Ordinary Time,9,Saturday,II,,"Psalm 9.7-8, 9-10, 11-12 (R.10b)","You will never abandon those who seek you, Lord.",2 Timothy 1.10,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,412
Ordinary Time,9,Monday,II,,"Psalm 148.1-2, 11-12, 13, 14",Heaven and earth are full of your glory.,2 Thessalonians 2.14,"God has called us with the gospel, to share in the glory of our Lord Jesus Christ. MONDAY 1543",413
Ordinary Time,9,Tuesday,II,,"Psalm 119.14+24, 72+103, 111+131 (R.103a)",How sweet to my taste is your promise!,Matthew 11.29,"Take my yoke upon you, learn from me, for I am gentle and humble of heart. TUESDAY 1545",414
Ordinary Time,9,Wednesday,II,,"Psalm 113.1-2, 3-4, 5-6 (R.4b)",The glory of the Lord is higher than the skies.,2 Corinthians 5.19,"God was in Christ, to reconcile the world to himself; and the good news of reconciliation he has entrusted to us. 1548 NINETEENTH WEEK IN ORDINARY TIME – YEAR II",415
Ordinary Time,9,Thursday,II,,"Psalm 78.56-57, 58-59, 61-62 (R. see 7b)",Do not forget the works of the Lord!,Psalm 119.135,"Let your face shine on your servant, and teach me your laws.",416
Ordinary Time,9,Saturday,II,,"Psalm 51.10-11, 12-13, 16-17","Create a clean heart in me, O God.",Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom. 1558 NINETEENTH WEEK IN ORDINARY TIME – YEAR II",418
Ordinary Time,9,Wednesday,II,,"Psalm 23.1-3a, 3b-4, 5, 6 (R.1)",The Lord is my shepherd; there is nothing I shall want.,Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our heart. 1566 TWENTIETH WEEK IN ORDINARY TIME – YEAR II,421
Ordinary Time,9,Thursday,II,,"Psalm 51.10-11, 12-13, 16-17",I will pour clean water on you and wash away all your sins.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",422
Ordinary Time,9,Friday,II,,"Psalm 107.1-2, 4-5, 6-7, 8-9 (R.1)",,"Psalm 25.4b, 5a","Teach me your paths, my God, and lead me in your truth.",423
Ordinary Time,9,Saturday,II,,"Psalm 85.8ab-9, 10-11, 12-13 (R.9b)",The glory of the Lord will dwell in our land.,"Matthew 23.9b, 10b","You have one Father, your Father in heaven; you have one teacher, the Lord Jesus Christ.",424
Ordinary Time,1,Monday,II,,"Psalm 96.1-2a, 2b-3, 4-5 (R.3)",Proclaim God’s marvellous deeds to all the nations.,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",425
Ordinary Time,1,Tuesday,II,,"Psalm 96.10, 11-12a, 12b-13 (R.13b)",The Lord comes to judge the earth.,Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our hearts.,426
Ordinary Time,1,Wednesday,II,,"Psalm 128.1-2, 4-5 (R.1)",Happy are those who fear the Lord.,1 John 2.5,"Whoever keeps the word of Christ, grows perfect in the love of God.",427
Ordinary Time,1,Thursday,II,,"Psalm 145.2-3, 4-5, 6-7 (R. see 1)","I will praise your name for ever, Lord.","Matthew 24.42a, 44",Be watchful and ready: you know not when the Son of Man is coming.,428
Ordinary Time,1,Friday,II,,"Psalm 33.1-2, 4-5, 10ab+11 (R.5b)",The earth is full of the goodness of the Lord.,Luke 21.36,"Be watchful, pray constantly, that you may be worthy to stand before the Son of Man.",429
Ordinary Time,1,Saturday,II,,"Psalm 33.12-13, 18-19, 20-21 (R.12b)",Happy the people the Lord has chosen to be his own.,John 13.34,I give you a new commandment: love one another as I have loved you. GO S P E L 1586 TWENTY-FIRST WEEK IN ORDINARY TIME – YEAR II Matthew 25.14-30,430
Ordinary Time,1,Monday,II,,"Psalm 119.97-98, 99-100, 101-102 (R.97a)","Lord, I love your commands.",Luke 4.18,The Spirit of the Lord now upon me has sent me to bring good news to the poor.,431
Ordinary Time,2,Tuesday,II,,"Psalm 145.8-9, 10-11, 12-13ab, 13cd-14 (R.17a)",The Lord is just in all his ways.,Luke 7.16,A great prophet has appeared among us; God has visited his people.,432
Ordinary Time,2,Wednesday,II,,"Psalm 33.12-13, 14-15, 20-21 (R.12b)",Happy the people the Lord has chosen to be his own.,Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners.,433
Ordinary Time,2,Thursday,II,,"Psalm 24.1-2, 3-4ab, 5-6 (R.1a)",To the Lord belongs the earth and all that fills it.,Matthew 4.19,"Come follow me, says the Lord, and I will make you fishers of my people.",434
Ordinary Time,2,Friday,II,,"Psalm 37.3-4, 5-6, 27-28, 39-40 (R.39)",The salvation of the just comes from the Lord.,John 8.12,"I am the light of the world, says the Lord; whoever follows me will have the light of life.",435
Ordinary Time,2,Saturday,II,,"Psalm 145.17-18, 19-20, 21 (R.18a)",The Lord is near to all who call on him.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",436
Ordinary Time,2,Monday,II,,"Psalm 5.1+4, 5-6, 11 (R.8a)","Lead me in your justice, Lord.",John 10.27,"My sheep listen to my voice, says the Lord; I know them and they follow me.",437
Ordinary Time,3,Tuesday,II,,"Psalm 149.1-2, 3-4, 5-6a+9b (R.4a)",The Lord takes delight in his people.,John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",438
Ordinary Time,3,Wednesday,II,,"Psalm 45.10-11, 13-14, 15-16 (R.8a)","Listen to me, daughter; see and bend your ear.",Luke 6.23ab,Rejoice and be glad; your reward will be great in heaven.,439
Ordinary Time,3,Thursday,II,,"Psalm 139.1-3, 13-14ab, 23-24 (R.24b)","Guide me, Lord, along the everlasting way.",1 John 4.12,"If we love one another, God will live in us in perfect love.",440
Ordinary Time,3,Friday,II,,"Psalm 84.2, 3, 4-5, 11 (R.1)","How lovely is your dwelling place, Lord, mighty God!",John 17.17ba,"Your word, O Lord, is truth; make us holy in the truth.",441
Ordinary Time,3,Saturday,II,,"Psalm 116.12-13, 17-18 (R.17a)","To you, Lord, I will offer a sacrifice of praise.",John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",442
Ordinary Time,4,Monday,II,,"Psalm 40.6-7a, 7b-8, 9, 16 (R. 1 Cor 11.26b)",Proclaim the death of the Lord until he comes again.,John 3.16,"God loved the world so much, he gave his only Son, that all who believe in him might have eternal life.",443
Ordinary Time,4,Tuesday,II,,"Psalm 100.1-2, 3, 4, 5 (R.3c)",We are his people: the sheep of his flock.,Luke 7.16,"A great prophet has appeared among us, God has visited his people.",444
Ordinary Time,4,Wednesday,II,,"Psalm 33.2-3, 43-5, 12+22 (R.12b)",Happy the people the Lord has chosen to be his own.,"John 6.63c, 68c","Your words, Lord, are spirit and life, you have the words of everlasting life.",445
