season,week,day,occasion_1967,season_mapped,week_mapped,day_mapped,cycle_applicability,notes,petitions,page_number
"Ordinary Time","Feast","Sunday","FEASTS OF OUR LADY","Ordinary Time","Feast","Sunday","ALL","Marian Feasts"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families fo this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) 65","74"
"Ordinary Time","Feast","Sunday","THE DEDICATION OF","Ordinary Time","Feast","Sunday","ALL","Dedication of Church"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Console all those who mourn, and bring them comfort. |  Lord, graciously hear us. Reward all our benefactors, both living and dead, with the gift of eternal happiness.","78"
"Ordinary Time","Feast","Sunday","FEASTS OF SAINTS","Ordinary Time","Feast","Sunday","ALL","Saints"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues.","79"
"Special","Confirmation","Sacrament","AT A CONFIRMATION. I","Special","Confirmation","Sacrament","ALL","Confirmation"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. |  Lord, graciously hear us. uide us with the power of the Holy Spirit and teach us to know and do thy holy will.","80"
"Special","Confirmation","Sacrament","AT A CONFIRMATION. II","Special","Confirmation","Sacrament","ALL","Confirmation"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. May we be given the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant that those who today receive thy sacraments may derive from them plentiful grace.","81"
"Unmapped","","","ANY SAINT’S DAY","","","","ALL","Not in mapping"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","82"
"Special","Marriage","Sacrament","A NUPTIAL MASS. I","Special","Marriage","Sacrament","ALL","Wedding"," Lord, graciously hear us. Help us to realize that we are stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion.","83"
"Special","Baptism","Sacrament","BAPTISMS","Special","Baptism","Sacrament","ALL","Baptism"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","88"
"Special","Devotional","Devotion","BENEDICTION (HOLY HOUR)","Special","Devotional","Devotion","ALL","Benediction"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity.","89"
"Special","Devotional","Devotion","BIBLE VIGILS","Special","Devotional","Devotion","ALL","Bible Vigil"," Lord, graciously hear us. Bless all those who work for peace that they may achieve this holy purpose. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will.","90"
"Special","Funeral","Sacrament","CENOTAPH SERVICES","Special","Funeral","Sacrament","ALL","Memorial Service"," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them from all harm. | p. Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ Our Lord.","91"
"Special","Community","Event","EDUCATION DAYS","Special","Community","Event","ALL","Education Day"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","92"
"Special","Eucharist","Sacrament","FIRST COMMUNIONS","Special","Eucharist","Sacrament","ALL","First Communion"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Stir our conscience to help the hungry and the poor throughout the world.","93"
"Special","Funeral","Sacrament","FUNERALS","Special","Funeral","Sacrament","ALL","Funeral"," Lord, graciously hear us. Be mindful of those who have died defending their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Console all who mourn, and bring them comfort. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity.","94"
"Special","Devotional","Devotion","MAY PROCESSIONS","Special","Devotional","Devotion","ALL","Procession"," Lord, graciously hear us. Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues.","95"
"Special","Community","Event","MISSIONS","Special","Community","Event","ALL","Mission"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the afflicted, and St Joseph, patron of the dying, intercede for them at this moment.","96"
"Special","Holy Orders","Sacrament","ORDINATIONS","Special","Holy Orders","Sacrament","ALL","Ordination"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Ioolc with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives their following of thee.","97"
"Special","Community","Event","PATRONAL FEASTS","Special","Community","Event","ALL","Patronal Feast"," Lord, graciously hear us. Help us to realise that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","98"
"Special","Devotional","Devotion","PILGRIMAGES","Special","Devotional","Devotion","ALL","Pilgrimage"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","99"
"Appendix","Categories","Reference","APPENDIX - Categorized Petitions","Appendix","Categories","Reference","ALL","Petition templates","BENEFACTORS Reward all our benefactors, both living and dead, with the gift of eternal happiness. | BISHOPS Sanctify all bishops of the Church. Give them the grace to be true shepherds of their flocks, especially our own Bishop N. | CHURCH AND POPE Watch over, protect, and guide thy Church, and especially our Holy Father Pope N. | CITIZENS Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. | CIVIL STRIFE Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. | COMMUNION (FIRST) Grant that all those who receive Holy Communion today may love the Blessed Sacrament and be faithful until death. | CONFESSION Grant that all those who at this time seek forgiveness of their sins may receive thy pardon and persevere in thy grace. | CONFIRMATION Grant that those who today receive the seven-fold gifts of the Holy Spirit may always be loyal and faithful Catholics and true disciples to thee. | CROPS Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. | CROSSES Give us strength to bear our crosses in union with Christ Our Lord. | DEAD Lead N. thy departed servant into the company of all the saints. | Bring to a happy resurrection thy departed servant N., who on earth has been nourished by the bread of eternal life. | Grant to all our relatives, friends, and benefactors, who have departed this life, eternal rest. | Grant to the souls of thy servants the forgiveness of all their sins, that through our prayers they may obtain the pardon they have always desired. | Be mindful of those who have died in defending their country, and all who have sacrificed themselves for our well-being. | DEAD (BISHOP OR PRIEST) May this thy departed servant N., (consecrated a bishop and ) sealed with the sacred priesthood, share in the eternal priestly offering. | DOCTORS Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. | DYING Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the afflicted, and St Joseph, patron of the dying, intercede for them at this moment. | ENEMIES May we be given the grace to pray according to thy will for our enemies and all who persecute us. | EXILES Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. | FAMILY Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues. | Give peace and harmony in our homes, and a deep love of our holy religion. | FELLOW CHRISTIANS Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. | FIDELITY Inspire the faithful to show forth in their lives their following of thee. | FORCES Strengthen all who are engaged in our country’s defence and keep them and us from all harm. | GOVERNMENT Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. | Guide those who govern our country that they may rule with wisdom and justice. | GUIDANCE Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will. | HAPPY DEATH Grant us the grace of a happy death in peace and charity. | Bless the parents of this priest and all who have helped to lead him to the altar. | HOLY SPIRIT Guide us by the light of thy Holy Spirit and teach us to know and do thy holy will. | HUNGRY Stir our conscience to help the hungry and the poor throughout the world. | INDUSTRIAL STRIFE Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. | INDUSTRIES Prosper, we pray thee, the industries of this land and all those who work in them. | INTERIOR PEACE Grant us the peace which thou alone canst give. | JUBILEES Fill our hearts with thankfulness for all the graces bestowed upon us (especially ) and grant that we may continue to be faithful until death. | LENT Give us true sorrow for our sins and a firm purpose of amendment. | LONELY Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. | MASS Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us the pledge of eternal glory. | Grant through the union of thy servants N. and N. the grace of a new Christian family. | Preserve the happiness of this Bride and Bridegroom through a deep understanding of the Faith. | Give to this Bride and Bridegroom the grace to bear witness to the holiness of the married state. | MISSIONS Bless the missions and all who work in them, and bring to thy Church those who do not yet know thee. | MOURNERS Console all those who mourn, and bring them comfort. | Bring comfort to all who mourn and grant them consolation. | NEEDY Look with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. | NURSES Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. | ORGANIZATIONS Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to thee. | PARISH Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. | Bless all those who work for peace that they may achieve this holy purpose. | Watch over, protect, and guide thy Church, and especially our Holy Father Pope N. | PRIESTS &amp; RELIGIOUS Bless all priests and all men and women consecrated to thy service in the religious life. | PRISONERS Show pity to all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. | RELIGIOUS Bless all priests and all men and women consecrated to thy service in the religious life. | Guide those who govern our country that they may rule with wisdom and justice. | Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. | SACRAMENTS Grant that those who today receive thy sacraments may derive from them plentiful grace. | SCHOOLS Send thy blessing upon our schools and all who teach and learn therein. | Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. | SICK Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. | Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. | Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. | Look with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. | Bless and strengthen the sick, especially N. and N. Grant eternal rest to those lately dead, especially N. and N., and to those whose anniversaries occur about this time,N. andN. | SINNERS Convert all sinners and give them the courage to persevere in the life of grace with thee. | SOVEREIGN Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. | Bless our Sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. | STRIFE Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. | SUFFERING Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. | Look with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. | TRAVELLERS Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. | Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. | UNIVERSITIES Enlighten with thy Spirit all places of education and learning. | VOCATIONS Send us zealous and holy priests and grant perseverance to all who are preparing for the priesthood and for the religious life. | WEALTH Help us to realise that we are the stewards of all we possess and to use thy gifts wisely and generously. | WEATHER Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. | YOUNGER NATIONS Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller fife.","102-109"
