row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
647,Lent,1,Sunday,,B,,first_reading,Gen 9:8-15,"Then God said to Noah and to his sons with him,",GOD said to Noah and to his sons with him,starts_with_conjunction:then
648,Lent,1,Sunday,,C,,first_reading,Deut 26:4-10,"Then the priest shall take the basket from your hand, and set it down before the altar of the LORD your God.","MOSES spoke to the people, saying",starts_with_conjunction:then
648,Lent,1,Sunday,,C,,gospel,Luke 4:1-13,"And Jesus, full of the Holy Spirit, returned from the Jordan, and was led by the Spirit","FILLED with the Holy Spirit, Jesus returned from the Jordan",starts_with_conjunction:and
649,Lent,1,Monday,I/II,,224,first_reading,"Leviticus 19.1-2, 11-18","And the LORD said to Moses,","The Lord spoke to Moses, saying",starts_with_conjunction:and
651,Lent,1,Wednesday,I/II,,226,first_reading,Jonah 3.1-10,"Then the word of the LORD came to Jonah the second time, saying,","The word of the Lord came to Jonah at second time, saying",starts_with_conjunction:then
651,Lent,1,Wednesday,I/II,,226,gospel,Luke 11.29-32,"When the crowds were increasing, he began to say, ""This generation is an evil generation; it seeks a sign, but no sign shall be given to it except the sign of Jonah.","When the crowds were increasing, Jesus began to say",starts_with_conjunction:when
653,Lent,1,Friday,I/II,,228,gospel,Matt 5.20-16,"For I tell you, unless your righteousness exceeds that of the scribes and Pharisees, you will never enter the kingdom of heaven.",Jesus went up the mountain,starts_with_conjunction:for
655,Lent,1,Saturday,I/II,,358,first_reading,Isa 58.9b-14,"Then you shall call, and the LORD will answer; you shall cry, and he will say, Here I am.",Thus says the Lord If you remove the yoke from among you,starts_with_conjunction:then
655,Lent,1,Saturday,I/II,,358,gospel,Luke 5.27-32,"After this he went out, and saw a tax collector, named Levi, sitting at the tax office; and he said to him, ""Follow me.""",After healing a man who was paralyzed,continuation_marker
656,Lent,1,Saturday,I/II,,358,first_reading,Isa 58.9b-14,"Then you shall call, and the LORD will answer; you shall cry, and he will say, Here I am.",Thus says the Lord If you remove the yoke from among you,starts_with_conjunction:then
656,Lent,1,Saturday,I/II,,358,gospel,Luke 5.27-32,"After this he went out, and saw a tax collector, named Levi, sitting at the tax office; and he said to him, ""Follow me.""",After healing a man who was paralyzed,continuation_marker
657,Lent,1,Saturday,I/II,,358,first_reading,Isa 58.9b-14,"Then you shall call, and the LORD will answer; you shall cry, and he will say, Here I am.",Thus says the Lord If you remove the yoke from among you,starts_with_conjunction:then
657,Lent,1,Saturday,I/II,,358,gospel,Luke 5.27-32,"After this he went out, and saw a tax collector, named Levi, sitting at the tax office; and he said to him, ""Follow me.""",After healing a man who was paralyzed,continuation_marker
658,Lent,1,Saturday,I/II,,358,first_reading,Isa 58.9b-14,"Then you shall call, and the LORD will answer; you shall cry, and he will say, Here I am.",Thus says the Lord If you remove the yoke from among you,starts_with_conjunction:then
658,Lent,1,Saturday,I/II,,358,gospel,Luke 5.27-32,"After this he went out, and saw a tax collector, named Levi, sitting at the tax office; and he said to him, ""Follow me.""",After healing a man who was paralyzed,continuation_marker
659,Lent,2,Sunday,,A,,first_reading,Gen 12:1-4a,"Now the LORD said to Abram, ""Go from your country and your kindred and your father's house to the land that I will show you.",THE LORD said to Abram,starts_with_conjunction:now
659,Lent,2,Sunday,,A,,gospel,Matt 17:1-9,"And after six days Jesus took with him Peter and James and John his brother, and led them up a high mountain apart.","JESUS took Peter, James, and John his brother",starts_with_conjunction:and
660,Lent,2,Sunday,,B,,gospel,Mark 9:2-10,"And after six days Jesus took with him Peter and James and John, and led them up a high mountain apart by themselves; and he was transfigured before them,","JESUS took Peter, James, and John",starts_with_conjunction:and
661,Lent,2,Sunday,,C,,first_reading,"Gen 15:5-12, 17-18","And he brought him outside and said, ""Look toward heaven, and number the stars, if you are able to number them."" Then he said to him, ""So shall your descendants be.""",THE Lord God took Abram outside and said,starts_with_conjunction:and
661,Lent,2,Sunday,,C,,gospel,Luke 9:28b-36,"Now about eight days after these sayings he took with him Peter and John and James, and went up on the mountain to pray.","JESUS took Peter, John, and James",starts_with_conjunction:now
662,Lent,2,Monday,I/II,,230,first_reading,"Daniel 9.3, 4b-10","Then I turned my face to the Lord God, seeking him by prayer and supplications with fasting and sackcloth and ashes.","I, Daniel, turned to the Lord God",starts_with_conjunction:then
663,Lent,2,Tuesday,I/II,,231,gospel,Matt 23.1-12,"Then said Jesus to the crowds and to his disciples,",Jesus said to the crowds and to his disciples,starts_with_conjunction:then
664,Lent,2,Wednesday,I/II,,233,first_reading,Jer 18.18-20,"Then they said, ""Come, let us make plots against Jeremiah, for the law shall not perish from the priest, nor counsel from the wise, nor the word from the prophet. Come, let us smite him with the tongue, and let us not heed any of his words.""",The enemies of the prophet said,starts_with_conjunction:then
664,Lent,2,Wednesday,I/II,,233,gospel,Matt 20.17-28,"And as Jesus was going up to Jerusalem, he took the twelve disciples aside, and on the way he said to them,",As Jesus was going up to Jerusalem,starts_with_conjunction:and
