Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,1,Monday,II,,"Psalm 96.1-2a, 2b-3, 4-5 (R.3)",Proclaim God’s marvellous deeds to all the nations.,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",425
Ordinary Time,1,Monday,II,,"Psalm 119.97-98, 99-100, 101-102 (R.97a)","Lord, I love your commands.",Luke 4.18,The Spirit of the Lord now upon me has sent me to bring good news to the poor.,431
Ordinary Time,1,Monday,II,,"Psalm 131.1, 2, 3 (R. see 2)","In you, Lord, I have found my peace.",John 8.31b-32,"If you stay in my word, you will indeed be my disciples, and you will know the truth, says the Lord.",485
Ordinary Time,1,Monday,II,,"Psalm 24.1-2, 3-4ab, 5-6 (R. see 6)","Lord, this is the people that longs to see your face.","Philippians 2.15d, 16a",Shine on the world like bright stars; you are offering it the word of life.,491
Ordinary Time,1,Tuesday,I,,"Psalm 8.1-2, 3-4, 5-6ab, 6c-8 (R.6)++",You gave your Son authority over all your creation.,1 Thessalonians 2.13,"Receive this message not as human words, but as truly the word of God.",306
Ordinary Time,1,Tuesday,II,,"Psalm 139.1-2, 3-4, 5-6 (R.1)","You have searched me and you know me, Lord.",Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our hearts.,426
Ordinary Time,1,Tuesday,II,,"Psalm 131.1, 2, 3 (R. see 2)","In you, Lord, I have found my peace.",Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord. TUESDAY 1297",486
Ordinary Time,1,Tuesday,II,,"Psalm 96.10, 11-12a, 12b-13 (R.13b)",The Lord comes to judge the earth.,Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our hearts.,426
Ordinary Time,1,Tuesday,II,,"Psalm 22.25b-26, 27, 28-29, 30-31 (R. see 25)","I will praise you, Lord, in the assembly of your people.",Matthew 11.28,"Come to me, all you that labour and are burdened, 1704 THIRTY-FIRST WEEK IN ORDINARY TIME - YEAR II and I will give you rest, says the Lord.",486
Ordinary Time,1,Wednesday,I,,"Psalm 105.1-2, 3-4, 6-7, 8-9 (R.8)",The Lord remembers his covenant forever.,John 10.27,"My sheep listen to my voice, says the Lord: I know them, and they follow me.",307
Ordinary Time,1,Wednesday,I,,"Psalm 40.1+4, 6-7a, 7b-8, 9 (R.7-8)","Here am I, Lord, I come to do your will.",John 10.27,"My sheep listen to my voice, says the Lord: I know them, and they follow me.",307
Ordinary Time,1,Wednesday,II,,"Psalm 139.7-8, 9-10, 11-12 (R. see 1)","You have searched me and you know me, Lord.",1 John 2.5,"Whoever keeps the word of Christ, grows perfect in the love of God.",427
Ordinary Time,1,Wednesday,II,,"Psalm 112.1-2, 4-5, 9 (R. see 5)",Happy the merciful who give to those in need.,1 Peter 4.14,"If you are insulted for the name of Christ, blessed are you, for the Spirit of God rests upon you.",487
Ordinary Time,1,Wednesday,II,,"Psalm 128.1-2, 4-5 (R.1)",Happy are those who fear the Lord.,1 John 2.5,"Whoever keeps the word of Christ, grows perfect in the love of God.",427
Ordinary Time,1,Wednesday,II,,"Psalm 27.1, 4, 13-14 (R.1)",The Lord is my light and my salvation.,1 Peter 4.14,"If you are insulted for the name of Christ, blessed are you, for the Spirit of God rests upon you.",487
Ordinary Time,1,Thursday,I,,"Psalm 95.6-7, 8-9, 10-11 (R.7b-8a)","If today you hear God’s voice, harden not your hearts.",Matthew 4.23,Jesus preached the good news of the kingdom and healed all who were sick.,308
Ordinary Time,1,Thursday,I,,"Psalm 44.9-10, 13-14, 23-24 (R.26)","Save us Lord, in your mercy.",Matthew 4.23,Jesus preached the good news of the kingdom and healed all who were sick.,308
Ordinary Time,1,Thursday,II,,"Psalm 90.3-4, 12-13, 14+17 (R.14)","Fill us with your love, O Lord, and we will sing for joy!","Matthew 24.42a, 44",Be watchful and ready: you know not when the Son of Man is coming.,428
Ordinary Time,1,Thursday,II,,"Psalm 27.1, 4, 13-14 (R.13)",I believe that I shall see the good things of the Lord in the land of the living.,Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",488
Ordinary Time,1,Thursday,II,,"Psalm 145.2-3, 4-5, 6-7 (R. see 1)","I will praise your name for ever, Lord.","Matthew 24.42a, 44",Be watchful and ready: you know not when the Son of Man is coming.,428
Ordinary Time,1,Thursday,II,,"Psalm 105.2-3, 4-5, 6-7 (R.3b)",Let hearts rejoice who search for the Lord.,Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",488
