weekday_cycle,source_file,season,reference_status,day,psalm_response,acclamation_ref,first_reading,reading_cycle,sunday_cycle,acclamation_text,week,first_reading_incipit,lectionary_number,gospel,parser_warnings,second_reading,source_page,psalm_reference,gospel_incipit,source_title,second_reading_incipit
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,"(6) Since my mother's womb, you have been my strength.",See John 1:7; Luke 1:17,Jer 1:4-10,,ABC,"He came to testify to the light, to prepare a people fit for the Lord.-R.",,"IN the days of King Josiah, the word of the LORD came to me, saying",,Luke 1:5-17,,1 Pet 1:8-12,248,"Ps 71:1-2, 3-4a, 5-6ab, 15ab and 17","IN the days of Herod, King of Judea",NATIVITY OF JOHN THE BAPTIST (VIGIL)-ABC (June 24),BELOVED
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,"(14) I praise you, for I am wonderfully made.",See Luke 1:76,Isa 49:1-6,,ABC,"You, child, will be called prophet of the Most High, for you will go before the Lord to prepare his way.-R.",,"HEAR me, O coastlands",,"Luke 1:57-66, 80",,Acts 13:22-26,249,"Ps 139:1b-3, 13-14ab, 14c-15",WHEN the time arrived for Elizabeth to have her child,NATIVITY OF JOHN THE BAPTIST (DAY)-ABC (June 24),"IN those days, Paul said"
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,(5) Their message goes out through all the earth.,John 21:17,Acts 3:1-10,,ABC,"Lord, you know everything: you know that I love you.-R.",,PETER and John were going up to the temple area,,John 21:15-19,,Gal 1:11-20,250,"Ps 19:2-3, 4-5",JESUS had revealed himself to his disciples,"SS. PETER AND PAUL, APOSTLES (VIGIL)-ABC (June 29)","I WANT you to know, brothers and sisters"
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,(5) The angel of the Lord will rescue those who fear him.,Matt 17:5c,"Dn 7:9-10, 13-14",,ABC,"You are Peter and upon this rock I will build my Church, and the gates of the netherworld shall not prevail against it.-R.",,"IN those days, King Herod laid hands upon some members of the Church",,Luke 9:28b-36,,2 Pet 1:16-19,251,"Ps 97:1-2, 5-6, 9",WHEN Jesus went into the region of Caesarea Philippi,SS. PETER AND PAUL (DAY)-ABC (June 29),"I, PAUL, am already being poured out like a libation"
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,"(8) Lord, go up to the place of your rest,",Luke 11:28,"1 Chr 15:3-4, 15-16; 16:1-2",,ABC,Blessed are they who hear the word of God and observe it.-R.,,DAVID assembled all Israel in Jerusalem to bring the ark of the LORD,,Luke 11:27-28,,1 Cor 15:54b-57,255,"Ps 132:6-7, 9-10, 13-14",WHILE Jesus was speaking,ASSUMPTION OF THE BLESSED VIRGIN MARY (VIGIL),BROTHERS and sisters
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,"(10bc) The queen stands at your right hand, arrayed in gold.",,"Rev 11:19a; 12:1-6a, 10ab",,ABC,,,GOD'S temple in heaven was opened,,Luke 1:39-56,,1 Cor 15:20-27,256,"Ps 45:10, 11, 12, 16",MARY set out,ASSUMPTION OF THE BLESSED VIRGIN MARY (DAY),BROTHERS and sisters
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,(see 7b) Do not forget the works of the Lord!,,Nm 21:4b-9,,ABC,,,WITH their patience worn out by the journey,,John 3:13-17,,Phil 2:6-11,257,"Ps 78:1bc-2, 34-35, 36-37, 38",JESUS said to Nicodemus,EXALTATION OF THE HOLY CROSS-ABC (September 14),BROTHERS and sisters
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,"(see 6) Lord, this is the people that longs to see your face.",Matt 11:28,"Rev 7:2-4, 9-14",,ABC,"Come to me, all you who labor and are burdened, and I will give you rest, says the Lord.-R.",,"I, JOHN, saw another angel come up from the East",,Matt 5:1-12a,,John 3:1-3,258,"Ps 24:1bc-2, 3-4ab, 5-6","WHEN Jesus saw the crowds, he went up the mountain",ALL SAINTS-ABC (November 1),BELOVED
,sunday_readings_columns.txt,Ordinary Time,unverified,Sunday,"(5) The waters of the river gladden the city of God,",2 Chronicles 7:16,"Ez 47:1-2, 8-9, 12",,ABC,"I have chosen and consecrated this house, says the Lord, that my name may be there forever.-R.",,THE angel brought me,,John 2:13-22,,"1 Cor 3:9c-11, 16-17",267,"Ps 46:2-3, 5-6, 8-9",SINCE the Passover of the Jews was near,DEDICATION OF ST. JOHN LATERAN BASILICA,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"(1) Sing to the Lord a new song, for he has done marvelous deeds.",See Luke 1:28,"Gen 3:9-15, 20",,ABC,"Hail, Mary, full of grace, the Lord is with you; blessed are you among women.-R.",,"AFTER the man, Adam, had eaten of the tree",,Luke 1:26-38,,"Eph 1:3-6, 11-12",268,"Ps 98:1, 2-3ab, 3cd-4",THE angel Gabriel was sent from God,IMMACULATE CONCEPTION-ABC (December 8),BROTHERS and sisters
I/II,weekday_a_full.txt,Advent,unverified,Friday,The Lord is my light and my salvation.,,Isa 29.17-24,,,,1,The Lord God says this,179,Matt 9.27-31,,,15,"Ps 27.1, 4, 13-14",As Jesus went on from his own village,Advent 1 Friday,
I/II,weekday_a_full.txt,Advent,unverified,Monday,Let us go rejoicing to the house of the Lord.,See Ps 80.4,Isa 2.1-5,"B,C",,"Come and save us, Lord our God; let us see your face, and we shall be saved.",1,The vision that Isaiah son of Amoz saw,175,"Matt 8.5-11, 13",,,6,"Ps 122.1-2, 3-4, 7-8, 9-10",When Jesus entered Capernaum,Advent 1 Monday,
I/II,weekday_a_full.txt,Advent,unverified,Saturday,Happy are all who long,Isa 33.22,"Isa 30.19-21, 13-26",,,The Lord will judge us by his law; he is our King and Saviour.,1,"Thus says the Lord God, the Holy One of Israel",180,"Matt 9.35 - 10.1, 5a, 6-8",,,17,"Ps 147.1-2, 3-4, 5-6",Jesus went about all the cities and villages,Advent 1 Saturday,
I/II,weekday_a_full.txt,Advent,unverified,Thursday,Blessed is he who comes in the name of the Lord.,Isa 55.6,Isa 26.1-6,,,Seek the Lord while he may be found. Call on him while he is near. 14 FIRST WEEK OF ADVENT,1,On that day this song will be sung in the land of Judah,178,"Matt 7.21, 24-27",,,13,"Ps 118.1, 8-9, 19-21, 25-27a",When Jesus saw the crowds,Advent 1 Thursday,
I/II,weekday_a_full.txt,Advent,unverified,Tuesday,"Justice shall flourish in his time,",,Isa 11.1-10,,,,1,A shoot shall come out from the stump of Jesse,176,Luke 10.21-24,,,9,"Ps 72.1-2, 7-8, 12-13, 17",The seventy returned with joy,Advent 1 Tuesday,
I/II,weekday_a_full.txt,Advent,unverified,Wednesday,I shall dwell in the house of the Lord,,Isa 25.6-10a,,,,1,On this mountain the Lord of hosts will make for all peoples,177,Matt 15.29-37,,,11,"Ps 23.1-3a, 3b-4, 5, 6",After Jesus had left Tyre and Sidon,Advent 1 Wednesday,
I/II,weekday_a_full.txt,Advent,unverified,Friday,"Those who follow you, Lord,",,Isa 48.17-19,,,,2,"Thus says the Lord, your Redeemer, the Holy One of Israel",185,Matt 11.16-19,,,29,"Ps 1.1-2, 3, 4+6",Jesus continued to speak to the crowds about John the Baptist,Advent 2 Friday,
I/II,weekday_a_full.txt,Advent,unverified,Monday,Our God will come to save us!,,Isa 35.1-10,,,,2,The wilderness and the dry land shall be glad,181,Luke 5.17-26,,,20,"Ps 85.8ab-9, 10-11, 12-13","One day, while Jesus was teaching",Advent 2 Monday,
I/II,weekday_a_full.txt,Advent,unverified,Saturday,"Lord, let us see your face and we shall be saved.++","Luke 3.4, 6","Sir 48.1-4, 9-11",,,"Prepare the way of the Lord, make straight his paths: all people shall see the salvation of God.",2,"Then Elijah arose, a prophet like fire",186,Matt 17.10-13,,,31,"Ps 80.1ac+2b, 14-15, 17-18",After the transfiguration,Advent 2 Saturday,
I/II,weekday_a_full.txt,Advent,unverified,Thursday,The Lord is kind and merciful.++,Isa 45.8,Isa 41.13-20,,,"Let the clouds rain down the Just One, and the earth bring forth a Saviour. 24 SECOND WEEK OF ADVENT",2,Thus says the Lord,184,Matt 11.11-15,,,27,"Ps 145.1+9, 10-11, 12-13ab",Now when Jesus had finished instructing his twelve disciples,Advent 2 Thursday,
I/II,weekday_a_full.txt,Advent,unverified,Tuesday,The Lord our God comes in strength.,,Isa 40.1-11,,,,2,"""Comfort, O comfort my people,"" says your God.",182,Matt 18.12-14,,,23,"Ps 96.1-2, 3 & 10ac, 11-12, 13",Jesus asked the disciples,Advent 2 Tuesday,
I/II,weekday_a_full.txt,Advent,unverified,Wednesday,"O bless the Lord, my soul!",,Isa 40.25-31,,,,2,"""To whom then will you compare me",183,Matt 11.28-30,,,25,"Ps 103.1-2, 3-4, 8+10","At that time, Jesus spoke to the crowds and exclaimed",Advent 2 Wednesday,
I/II,weekday_a_full.txt,Advent,unverified,December 17,Justice and peace shall flourish for ever.++,,"Gen 49.2, 8-10",,,,3,"Jacob called his sons, and said",193,Matt 1.1-17,,,46,"Ps 72.1-2, 3-4, 7-8, 17",An account of the genealogy of Jesus the Messiah,Advent 3 December 17,
I/II,weekday_a_full.txt,Advent,unverified,December 18,Justice and peace shall flourish for ever.++,,Jer 23.5-8,,,,3,"""The days are surely coming,"" says the Lord",194,Matt 1.18-24,,,49,"Ps 72.1-2, 12-13, 18-19",The birth of Jesus the Messiah took place in this way.,Advent 3 December 18,
I/II,weekday_a_full.txt,Advent,unverified,December 19,Fill me with your praise and I will sing your glory!,,"Judg 13.2-7, 24-25a",,,,3,"There was a certain man of Zorah, of the tribe of Dan",195,Luke 1.5-25,,,51,"Ps 71.3-4a, 5-6ab, 16-17",In the days of King Herod of Judea,Advent 3 December 19,
I/II,weekday_a_full.txt,Advent,unverified,December 20,Let the Lord enter; he is king of glory.,,Isa 7.10-14; 8.10d,,,,3,The Lord spoke to Isaiah and said,196,Luke 1.26-38,,,54,"Ps 24.1-2, 3-4ab, 5-6",In the sixth month the angel Gabriel was sent by God,Advent 3 December 20,
I/II,weekday_a_full.txt,Advent,unverified,December 21,Cry out with joy to the Lord.++,,Zephaniah 3.14-18a,,,,3,"Sing aloud, O daughter Zion",197,Luke 1.39-45,,,56,"Ps 33.2-3, 11-12, 20-21",Mary set out and went with haste,Advent 3 December 21,
I/II,weekday_a_full.txt,Advent,unverified,December 22,,,1 Samuel 1.24-28,,,,3,When Hannah had weaned her son Samuel,198,Luke 1.46-56,,,59,,In those days Mary set out to visit Elizabeth.,Advent 3 December 22,
I/II,weekday_a_full.txt,Advent,unverified,December 23,Lift up your heads and see;,,Mal 3.1-4; 4.5-6,,,,3,Thus says the Lord to Israel,199,Luke 1.57-66,,,61,"Ps 25.4bc-5ab, 8-9, 10+14",Now the time came for Elizabeth to give birth,Advent 3 December 23,
I/II,weekday_a_full.txt,Advent,unverified,December 24,For ever I will sing the goodness of the Lord.,,"2 Samuel 7.1-5, 8-12, 16",,,,3,Now when King David was settled in his house,200,Luke 1.67-79,,,63,"Ps 89.1-2, 3-4, 26+28",After Zechariah had named his son John,Advent 3 December 24,
I/II,weekday_a_full.txt,Advent,unverified,Friday,"O God, let the nations praise you!",,"Isa 56.1-3a, 6-8",,,,3,Thus says the Lord,191,"John 5.16-17, 33-36",,,43,"Ps 67.1-2, 4, 6-7",Jesus went up to Jerusalem for the festival,Advent 3 Friday,
I/II,weekday_a_full.txt,Advent,unverified,Monday,"Teach me your ways, O Lord.",Ps 84.8,"Num 24.2-7, 15-17a",,,"Lord, show us your mercy and love, and grant us your salvation.",3,Balaam looked up and saw Israel camping tribe by tribe.,187,Matt 21.23-27,,,33,"Ps 25.4bc-5ab, 6-7bc, 8-9",When Jesus entered the temple,Advent 3 Monday,
I/II,weekday_a_full.txt,Advent,unverified,Thursday,"I will praise you, Lord,","Luke 3.4,6",Isa 54.1-10,,,"Prepare the way of the Lord, make straight his paths: all people shall see the salvation of God. THURSDAY 37",3,Thus says the Lord to Jerusalem,190,Luke 7.24-30,,,40,"Ps 30.1+3, 4-5, 10-11ac+12",When John the Baptist's messengers had gone,Advent 3 Thursday,
I/II,weekday_a_full.txt,Advent,unverified,Tuesday,The Lord hears the cry of the poor.,,"Zephaniah 3.1-2, 9-13",,,,3,,188,Matt 21.28-32,,,35,"Ps 34.1-2, 5-6, 17-18, 19+22",One day when Jesus was in the temple teaching,Advent 3 Tuesday,
I/II,weekday_a_full.txt,Advent,unverified,Wednesday,Let the clouds rain down the Just One.++,Isa 40.9-10,"Isa 45.6b-8, 18, 21b-25",,,Raise your voice and tell the good news: The Lord our God comes in strength.,3,Thus says the Lord,189,Luke 7.19-23,,,37,"Ps 85.8ab-9, 10-11, 12-14",The disciples of John the Baptist reported to him,Advent 3 Wednesday,
I/II,weekday_a_full.txt,Christmas,unverified,Friday,"Praise the Lord, Jerusalem.",Matt 4.23,1 John 5.5-13,,,Jesus preached the good news of the kingdom and healed all who were sick.,Octave,My beloved people,216,Luke 5.12-16,,,104,"Ps 147.12-13, 14-15, 19-20",When Jesus was in one of the cities,Christmas Octave Friday,
I/II,weekday_a_full.txt,Christmas,unverified,January 2,All the ends of the earth have seen,Hebrews 1.1-2,1 John 2.22-28,,,In the past God spoke to our ancestors through the prophets; now God speaks to us through the Son.,Octave,My little ones,205,John 1.19-28,,,81,"Ps 98.1, 2-3ab, 3cd-4",This is the testimony given by John,Christmas Octave January 2,
I/II,weekday_a_full.txt,Christmas,unverified,January 3,All the ends of the earth have seen,"John 1.14, 12",1 John 2.29; 3.1-6,,,The Word of God became flesh and dwelt among us. He enabled those who accepted him to become the children of God.,Octave,Little children,206,John 1.29-34,,,83,"Ps 98.1, 3cd-4, 5-6",John the Baptist had given testimony to the priests and Levites,Christmas Octave January 3,
I/II,weekday_a_full.txt,Christmas,unverified,January 4,All the ends of the earth have seen,Hebrews 1.1-2,1 John 3.7-10,,,In the past God spoke to our ancestors through the prophets; now God speaks to us through the Son.,Octave,Little children,207,John 1.35-42,,,85,"Ps 98.1, 7-8, 9",John was standing with two of his disciples,Christmas Octave January 4,
I/II,weekday_a_full.txt,Christmas,unverified,January 5,Let all the earth cry out with joy.,,1 John 3.11-21,,,,Octave,My little children,208,John 1.43-51,,,87,"Ps 100.1-2, 3, 4, 5",After choosing Andrew and Peter to be his first disciples,Christmas Octave January 5,
I/II,weekday_a_full.txt,Christmas,unverified,January 6,"Praise the Lord, Jerusalem.",See Mark 9.7,1 John 5.5-13,,,"The heavens were opened and the Father's voice was heard: this is my beloved Son, hear him.",Octave,Beloved,209,"Mark 1.4-5, 7-11",,,89,"Ps 147.12-13, 14-15, 19-20",John the Baptist appeared in the wilderness,Christmas Octave January 6,
I/II,weekday_a_full.txt,Christmas,unverified,January 7,The Lord takes delight in his people.,Luke 7.16,1 John 5.14-21,,,A great prophet has appeared among us; God has visited his people.,Octave,Beloved ones,210,John 2.1-12,,,92,"Ps 149.1-2, 3-4, 5-6a+9b",There was a wedding in Cana of Galilee,Christmas Octave January 7,
I/II,weekday_a_full.txt,Christmas,unverified,Monday,I will give you all the nations for your heritage.,Matt 4.23,1 John 3.22 - 4.6,,,Jesus preached the good news of the kingdom and healed all who were sick.,Octave,My dear people,212,"Matt 4.12-17, 23-25",,,95,"Ps 2.7-8, 10-11",Now when Jesus heard that John had been arrested,Christmas Octave Monday,
I/II,weekday_a_full.txt,Christmas,unverified,Saturday,The Lord takes delight in his people.,Matt 4.16,1 John 5.14-21,,,A people in darkness have seen a great light; a radiant dawn shines on those lost in death.,Octave,My dear people,217,John 3.22-30,,,106,"Ps 149.1-2, 3-4, 5-6a+9b",Jesus and his disciples went into the Judean countryside,Christmas Octave Saturday,
I/II,weekday_a_full.txt,Christmas,unverified,Thursday,"Lord, every nation on earth will adore you.",Luke 4.18,1 John 4.19 - 5.4,,,The Lord sent me to bring good news to the poor and freedom to prisoners. 98 WEEKDAYS BETWEEN EPIPHANY AND BAPTISM OF THE LORD,Octave,My dear children,215,Luke 4.14-22a,,,101,"Ps 72.1-2, 14-15bc, 17","Jesus, filled with the power of the Spirit, returned to Galilee",Christmas Octave Thursday,
I/II,weekday_a_full.txt,Christmas,unverified,Tuesday,"Lord, every nation on earth will adore you.",Luke 4.18,1 John 4.7-10,,,The Lord sent me to bring good news to the poor and freedom to prisoners.,Octave,Beloved,213,Mark 6.34-44,,,97,"Ps 72.1-2, 3-4ab, 7-8",Jesus and the disciples got into a boat,Christmas Octave Tuesday,
I/II,weekday_a_full.txt,Christmas,unverified,Wednesday,"Lord, every nation on earth will adore you.",See 1 Timothy 3.16,1 John 4.11-18,,,Glory to Christ who is proclaimed to the world: glory from all who believe in him! 96 WEEKDAYS BETWEEN EPIPHANY AND BAPTISM OF THE LORD,Octave,Beloved,214,Mark 6.45-52,,,99,"Ps 72.1-2, 10-11, 12-13",After feeding the five thousand with the loaves and fish,Christmas Octave Wednesday,
I/II,weekday_a_full.txt,Easter,unverified,Friday,One thing I seek: to dwell in the house of the Lord.,Matt 4.4b,Acts 5.34-42,,,"No one lives on bread alone, but on every word that comes from the mouth of God.",2,The apostles were being questioned by the high priest before the council.,271,John 6.1-15,,,525,"Ps 27.1, 4, 13-14",Jesus went to the other side of the Sea of Galilee,Easter 2 Friday,
I/II,weekday_a_full.txt,Easter,unverified,Monday,Happy are all who put their trust in the Lord.,Colossians 3.1,Acts 4.23-31,,,"If then you have been raised with Christ, seek the things that are above, where Christ is seated at the right hand of God.",2,After Peter and John were released by the rulers and elders,267,John 3.1-8,,,517,"Ps 2.1-3, 4-6, 7-9","Now there was a Pharisee named Nicodemus, a leader of the Jews.",Easter 2 Monday,
I/II,weekday_a_full.txt,Easter,unverified,Saturday,"Lord, let you mercy be on us,",,Acts 6.1-7,,,,2,"Now during those days, when the disciples were increasing in number",272,John 6.16-21,,,528,"Ps 33.1-2, 4-5, 18-19","After feeding the crowd, Jesus withdrew to the mountain by himself.",Easter 2 Saturday,
I/II,weekday_a_full.txt,Easter,unverified,Thursday,The Lord hears the cry of the poor.,John 20.29,Acts 5.27-33,,,"You believe in me, Thomas, because you have seen me; happy those who have not seen me, but still believe! 520 SECOND WEEK OF EASTER",2,When the temple police had brought the apostles,270,John 3.31-36,,,523,"Ps 34.1+8, 16-17, 18-19",Jesus said to Nicodemus,Easter 2 Thursday,
I/II,weekday_a_full.txt,Easter,unverified,Tuesday,The Lord is king; he is robed in majesty.,John 3.15,Acts 4.32-37,,,"The Son of Man must be lifted up, so that all who believe in him may have eternal life.",2,The whole group of those who believed,268,John 3.7b-15,,,519,"Ps 93.1ab, 1c-2, 5",Jesus said to Nicodemus,Easter 2 Tuesday,
I/II,weekday_a_full.txt,Easter,unverified,Wednesday,The Lord hears the cry of the poor.,John 3.16,Acts 5.17-26,,,"God loved the world so much, he gave us his only Son, that all who believe in him might have eternal life. 518 SECOND WEEK OF EASTER",2,The high priest and all who were with him,269,John 3.16-21,,,521,"Ps 34.1-2, 3-4, 5-6, 7-8",Jesus said to Nicodemus,Easter 2 Wednesday,
I/II,weekday_a_full.txt,Easter,unverified,Friday,Go out to all the world and tell the good news.,John 6.56,Acts 9.1-20,,,"All who eat my flesh and drink my blood live in me, and I in them, says the Lord. FRIDAY 537",3,"Saul, still breathing threats and murder",277,John 6.52-59,,,540,"Ps 117.1, 2","The Jews disputed among themselves, saying",Easter 3 Friday,
I/II,weekday_a_full.txt,Easter,unverified,Monday,Happy are they who follow the law of the Lord!,Matt 4.4b,Acts 6.8-15,,,"No one lives on bread alone, but on every word that comes from the mouth of God.",3,"Stephen, full of grace and power",273,John 6.22-29,,,530,"Ps 119.23-24, 26-27, 29-30",After Jesus had fed the crowd from the five loaves,Easter 3 Monday,
I/II,weekday_a_full.txt,Easter,unverified,Saturday,What return can I make to the Lord,"John 6.63c, 68c",Acts 9.31-42,,,"Your words, Lord, are spirit and life; you have the words of everlasting life.",3,"The church throughout Judea, Galilee, and Samaria had peace",278,"John 6.53, 60-69",,,542,"Ps 116.12-13, 14-15, 16-17",Jesus said to the people,Easter 3 Saturday,
I/II,weekday_a_full.txt,Easter,unverified,Thursday,Let all the earth cry out to God with joy.,John 6.51,Acts 8.26-40,,,"I am the living bread from heaven, says the Lord; whoever eats this bread will live for ever.",3,An angel of the Lord said to Philip,276,John 6.44-51,,,537,"Ps 66.8-9, 16-17, 20",Those who had been fed by the five loaves,Easter 3 Thursday,
I/II,weekday_a_full.txt,Easter,unverified,Tuesday,"Into your hands, O Lord, I entrust my spirit.",John 6.35ab,Acts 7.51 - 8.1a,,,"I am the bread of life, says the Lord; whoever comes to me will never be hungry.",3,Stephen stood before the council and replied to his accusers,274,John 6.30-35,,,532,"Ps 31.2cd-3, 5ab+6b+7a, 16+20ab",After Jesus had fed the crowd from the five loaves,Easter 3 Tuesday,
I/II,weekday_a_full.txt,Easter,unverified,Wednesday,Let all the earth cry out to God with joy.,John 6.40,Acts 8.1b-8,,,"All who believe in the Son have eternal life, and I will raise them up on the last day, says the Lord.",3,On the day that Stephen was killed,275,John 6.35-40,,,535,"Ps 66.1-3a, 4-5, 6-7a",After Jesus had fed the crowd with the five loaves,Easter 3 Wednesday,
I/II,weekday_a_full.txt,Easter,unverified,Friday,You are my Son; this day I have begotten you.,John 14.6,Acts 13.26-33,,,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me. FRIDAY 553",4,When Paul and his companion reached Antioch,283,John 14.1-6,,,556,"Ps 2.6-7, 8-9, 10-11",Jesus knew that his hour had come to depart from this world,Easter 4 Friday,
I/II,weekday_a_full.txt,Easter,unverified,Monday,My soul is thirsting for the living God.,John 10.14,Acts 11.1-18,,,"I am the good shepherd, says the Lord; I know my sheep, and mine know me. MONDAY 543 YEARS B AND C When the gospel of John 10.1-10 is read on the Fourth Sunday of Easter, Year A, the alternate gospel, John 10.11-18, is used.",4,Now the apostles and the believers who were in Judea,279,John 10.11-18,,,546,"Ps 42.1-2; 43.3, 4",Jesus said to the Pharisees,Easter 4 Monday,
I/II,weekday_a_full.txt,Easter,unverified,Saturday,All the ends of the earth have seen,John 8.31b-32,Acts 13.44-52,,,"If you stay in my word, you will indeed be my disciples, and you will know the truth, says the Lord.",4,The next sabbath,284,John 14.7-14,,,558,"Ps 98.1, 2-3ab, 3cd-4",Jesus knew that his hour had come to depart from this world,Easter 4 Saturday,
I/II,weekday_a_full.txt,Easter,unverified,Thursday,For ever I will sing the goodness of the Lord.,Rev 1.5ab,Acts 13.13-25,,,"Jesus Christ, you are the faithful witness, firstborn from the dead; you have loved us and washed away our sins in your blood. THURSDAY 551",4,Paul and his companions set sail from Paphos,282,John 13.16-20,,,554,"Ps 89.2-3, 21-22, 25+27",After Jesus had washed the feet of the disciples,Easter 4 Thursday,
I/II,weekday_a_full.txt,Easter,unverified,Tuesday,"All you nations, praise the Lord.",John 10.27,Acts 11.19-26,,,"My sheep listen to me, says the Lord; I know them, and they follow me.",4,Now those who were scattered because of the persecution,280,John 10.22-30,,,550,"Ps 87.1-3, 4-5, 6-7",At that time the festival of the Dedication took place in Jerusalem.,Easter 4 Tuesday,
I/II,weekday_a_full.txt,Easter,unverified,Wednesday,"O God, let all the nations praise you!",John 8.12,Acts 12.24 - 13.5a,,,"I am the light of the world, says the Lord; whoever follows me will have the light of life.",4,The word of God continued to advance and gain adherents.,281,John 12.44-50,,,552,"Ps 67.1-2,3a+4, 5+7",Although Jesus had performed so many signs in the presence of the people,Easter 4 Wednesday,
I/II,weekday_a_full.txt,Easter,unverified,Friday,"I will praise you among the nations, O Lord.",John 15.15b,Acts 15.22-31,,,"I call you my friends, says the Lord, for I have made known to you all that the Father has told me. FRIDAY 567",5,The apostles and the elders,289,John 15.12-17,,,570,"Ps 57.7, 8, 9-10, 11",Before the hour had come to depart from this world,Easter 5 Friday,
I/II,weekday_a_full.txt,Easter,unverified,Monday,"Not to us, O Lord, but to your name give the glory.",John 14.26,Acts 14.5-18,,,The Holy Spirit will teach you all things and remind you of all I have said to you. 558 FIFTH WEEK OF EASTER,5,At Iconium Paul and Barnabas spoke in such a way,285,John 14.21-26,,,561,"Ps 115.1-2, 3-4, 15-16",Before the festival of the Passover,Easter 5 Monday,
I/II,weekday_a_full.txt,Easter,unverified,Saturday,Let all the earth cry out to God with joy.,Colossians 3.1,Acts 16.1-10,,,"If then you have been raised with Christ, seek the things that are above, where Christ is seated at the right hand of God. SATURDAY 569",5,"Paul left Antioch, taking with him Silas",290,John 15.18-21,,,572,"Ps 100.1-2, 3, 5",Before the hour had come to depart from this world,Easter 5 Saturday,
I/II,weekday_a_full.txt,Easter,unverified,Thursday,Proclaim God's marvellous deeds to all the nations.,John 10.27,Acts 15.7-21,,,"My sheep listen to my voice, says the Lord; I know them, and they follow me. THURSDAY 565",5,The apostles and the elders met together,288,John 15.9-11,,,568,"Ps 96.1-2a, 2b-3, 10",Before the festival of the Passover,Easter 5 Thursday,
I/II,weekday_a_full.txt,Easter,unverified,Tuesday,"Your friends tell the glory of your kingship, Lord.","Luke 24.46, 26",Acts 14.19-28,,,"Christ had to suffer and to rise from the dead, and so enter into his glory.",5,While Paul and Barnabas were at Lystra,286,John 14.27-31a,,,563,"Ps 145.10-11, 12-13ab, 13cd+21",When the hour had come to depart from this world,Easter 5 Tuesday,
I/II,weekday_a_full.txt,Easter,unverified,Wednesday,Let us go rejoicing to the house of the Lord.,"John 15.4a, 5b",Acts 15.1-6,,,"Live in me and let me live in you, says the Lord; my branches bear much fruit.",5,Certain individuals came down from Judea and were teaching the brothers,287,John 15.1-8,,,566,"Ps 122.1-2, 3-4a, 4b-5",When the hour had come to depart from this world and go to the Father,Easter 5 Wednesday,
I/II,weekday_a_full.txt,Easter,unverified,Friday,God is king of all the earth.,"Luke 24.46, 26",Acts 18.9-18,,,"Christ had to suffer and to rise from the dead, and so enter into his glory.",6,At Corinth one night the Lord said to Paul in a vision,295,John 16.20-23a,,,583,"Ps 47.1-2, 3-4, 5-6",When Jesus knew that his hour had come to depart from this world,Easter 6 Friday,
I/II,weekday_a_full.txt,Easter,unverified,Monday,The Lord takes delight in his people.,"John 15.26b, 27a",Acts 16.11-15,,,"The Spirit of truth will bear witness to me, says the Lord, and you also will be my witness.",6,With Paul we set sail from Troas,291,John 15.26 - 16.4a,,,575,"Ps 149.1-2, 3-4, 5-6a+9b",When Jesus knew that his hour had come to depart from this world,Easter 6 Monday,
I/II,weekday_a_full.txt,Easter,unverified,Saturday,God is king of all the earth.,John 16.28,Acts 18.23-28,,,I went from the Father and came into the world; and now I leave the world to return to the Father.,6,After spending some time at Antioch,296,John 16.23b-28,,,586,"Ps 47.1-2, 7-8, 9",When Jesus knew that his hour had come to depart from this world,Easter 6 Saturday,
I/II,weekday_a_full.txt,Easter,unverified,Thursday,The Lord has revealed to the nations his saving power.,John 14.18,Acts 18.1-8,,,"The Lord says: I will not leave you orphans. I will come back to you, and your hearts will rejoice. 578 SIXTH WEEK OF EASTER",6,Paul left Athens and went to Corinth.,294,John 16.16-20,,,581,"Ps 98.1, 2-3ab, 3cd-4",When Jesus knew that his hour had come to depart from this world,Easter 6 Thursday,
I/II,weekday_a_full.txt,Easter,unverified,Tuesday,"Your right hand has saved me, O Lord.","John 16.7, 13",Acts 16.22-34,,,"The Lord says: I will send you the Spirit of truth, who will lead you to the whole truth.",6,While Paul and Silas were in Philippi,292,John 16.5-11,,,576,"Ps 138.12a, 1-2a, 2bc-3, 7c-8",When Jesus knew that his hour had come to depart from this world,Easter 6 Tuesday,
I/II,weekday_a_full.txt,Easter,unverified,Wednesday,Heaven and earth are full of your glory.,John 14.16,"Acts 17.15, 22 - 18.1",,,"The Father will send you the Holy Spirit, says the Lord, to be with you for ever. 576 SIXTH WEEK OF EASTER",6,Those who conducted Paul brought him as far as Athens,293,John 16.12-15,,,579,"Ps 148.1-2, 11-12, 13, 14",When Jesus knew that his hour had come to depart from this world,Easter 6 Wednesday,
