id,season,day,day_num,week,firstReading,alternativeFirstReading,firstReadingIncipit,alternativeFirstReadingIncipit,psalmReference,psalmResponse,secondReading,secondReadingIncipit,gospel,gospelIncipit,alternativeGospel,alternativeGospelIncipit,source_file
CHRISTMAS_OCTAVE_FRI_191_1,Christmas,FRIDAY,191,Octave,1 John 3.7-10,,Those who have been born of God do not sin.,,Ps 31.2cd-3ab, 5+7ab, 15bc-16,Into your hands, O Lord, I entrust my spirit.,,,John 5.16-17, 33-36,,weekday_a_full.txt
CHRISTMAS_OCTAVE_FRI_191_2,Christmas,FRIDAY,191,Octave,1 John 3.11-21,,We know that we have passed from death to life,,Ps 31.2cd-3ab, 5+7ab, 15bc-16,Into your hands, O Lord, I entrust my spirit.,,,John 5.16-17, 33-36,,weekday_a_full.txt
EASTER_WED_259_ACTS_2,Easter,WEDNESDAY,259,,Acts 2.1-11,,They devoted themselves to the teaching of the apostles,,Ps 118.1-2, 16-17, 22-23,This is the day the Lord has made; let us rejoice and be glad.,,John 20.19-23,On the evening of that first day of the week,,weekday_a_full.txt
EASTER_WED_259_ACTS_3,Easter,WEDNESDAY,259,,Acts 3.1-10,,What I have I give you; in the name of Jesus Christ of Nazareth, stand up and walk,,Ps 8.2a+5, 6-7, 8-9,O Lord, our God, how wonderful your name in all the earth!,John 20.19-23,On the evening of that first day of the week,,weekday_a_full.txt
EASTER_WED_259_ACTS_4,Easter,WEDNESDAY,259,,Acts 4.8-12,,There is no other name under heaven by which we must be saved,,Ps 118.1, 5-6, 8-9, 14-15, 16-17, 19-21, 22-23, 25-27a, 28,Give thanks to the Lord, for he is good, for his mercy endures forever.,John 20.19-23,On the evening of that first day of the week,,weekday_a_full.txt
EASTER_WED_299_ACTS_20,Easter,WEDNESDAY,299,,Acts 20.17-27,,I commend you to the message of God's grace, that is able to build you up,,Ps 68.10-11, 20-21,The Lord gives the word to the heralds who proclaim it with power.,,John 17.20-26,Jesus raised his eyes to heaven and said,,weekday_a_full.txt
EASTER_SAT_302_ACTS_6,Easter,SATURDAY,302,,Acts 6.8-10; 7.54-59,,I see the heavens opened!,Ps 118.1-2, 16-17, 22-23,This is the day the Lord has made; let us rejoice and be glad.,,John 20.19-23,On the evening of that first day of the week,,weekday_a_full.txt
EASTER_SAT_302_1JOHN_1,Easter,SATURDAY,302,,1 John 1.1-4,,We reveal to you what we have seen and heard.,Ps 97.1-2, 5-6, 11-12,Rejoice in the Lord, you just!,,John 20.19-23,On the evening of that first day of the week,,weekday_a_full.txt
EASTER_SAT_302_ACTS_1,Easter,SATURDAY,302,,Acts 1.15-17, 21-26,,The lot fell to Matthias, who was then added to the eleven apostles.,Ps 113.1-8,The Lord will give him a seat with the leaders of his people.,,John 20.19-23,On the evening of that first day of the week,,weekday_a_full.txt
LENT_SAT_242_MICAH_7,Lent,SATURDAY,242,,Micah 7.14-15, 18-20,,When I sit in darkness, the Lord will be a light to me.,Ps 126.1-2, 2-3, 4-5, 6,The Lord has done great things for us; we are filled with joy.,,Matt 5.8-14,Blessed are the poor in spirit,,weekday_a_full.txt
