source_file,reference,current_incipit,extracted_incipit,script_source,cycle,date,reading_type,notes
standard_lectionary_complete.csv,1 Cor 15:54-58,,,,/C,Ordinary Time 8 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 3:21-25, 28",,,,/A,Ordinary Time 9 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 4:6-11,,,,/B,Ordinary Time 9 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Gal 1:1-2, 6-10",,,,/C,Ordinary Time 9 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 4:18-25,,,,/A,Ordinary Time 10 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 4:13-5:1,,,,/B,Ordinary Time 10 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Gal 1:11-19,,,,/C,Ordinary Time 10 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 5:6-11,,,,/A,Ordinary Time 11 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 5:6-10,,,,/B,Ordinary Time 11 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Gal 2:16, 19-21",,,,/C,Ordinary Time 11 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 5:12-15,,,,/A,Ordinary Time 12 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 5:14-17,,,,/B,Ordinary Time 12 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Gal 3:26-29,,,,/C,Ordinary Time 12 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 6:3-4, 8-11",,,,/A,Ordinary Time 13 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"2 Cor 8:7, 9, 13-15",,,,/B,Ordinary Time 13 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Gal 5:1, 13-18",,,,/C,Ordinary Time 13 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 8:9, 11-13",,,,/A,Ordinary Time 14 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Cor 12:7-10,,,,/B,Ordinary Time 14 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Gal 6:14-18,,,,/C,Ordinary Time 14 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 8:18-23,,,,/A,Ordinary Time 15 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 1:3-14 or 1:3-10,,,,/B,Ordinary Time 15 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Col 1:15-20,,,,/C,Ordinary Time 15 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 8:26-27,,,,/A,Ordinary Time 16 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 2:13-18,,,,/B,Ordinary Time 16 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Col 1:24-28,,,,/C,Ordinary Time 16 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 8:28-30,,,,/A,Ordinary Time 17 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 4:1-6,,,,/B,Ordinary Time 17 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Col 2:12-14,,,,/C,Ordinary Time 17 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 8:35, 37-39",,,,/A,Ordinary Time 18 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Eph 4:17, 20-24",,,,/B,Ordinary Time 18 Sunday,Second Reading,No matching reference found in script sources
