Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,20,Wednesday,II,,"Psalm 23.1-3a, 3b-4, 5, 6 (R.1)",The Lord is my shepherd; there is nothing I shall want.,Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our heart.,421
Ordinary Time,20,Thursday,I,,"Psalm 40.4, 6-7a, 7b-8, 9 (R. see 7a and 9a)","Here am I, Lord; I come to do your will.",Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",422
Ordinary Time,20,Thursday,II,,"Psalm 51.10-11, 12-13, 16-17",I will pour clean water on you and wash away all your sins.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",422
Ordinary Time,20,Friday,I,,"Psalm 146.5-6, 7, 8-9a, 9bc-10 (R.1b)","Praise the Lord, my soul!","Psalm 25.4b, 5a","Teach me your paths, my God, and lead me in your truth.",423
Ordinary Time,20,Friday,II,,"Psalm 107.1-2, 4-5, 6-7, 8-9 (R.1)","Give thanks to the Lord, God’s love is everlasting.","Psalm 25.4b, 5a","Teach me your paths, my God, and lead me in your truth.",423
Ordinary Time,20,Saturday,I,,"Psalm 128.1-2, 3, 4-5 (R.4)",See how the Lord blesses those who fear him.,"Matthew 23.9b, 10b","You have one Father, your Father in heaven; you have one teacher, the Lord Jesus Christ.",424
Ordinary Time,20,Saturday,II,,"Psalm 85.8ab-9, 10-11, 12-13 (R.9b)",The glory of the Lord will dwell in our land.,"Matthew 23.9b, 10b","You have one Father, your Father in heaven; you have one teacher, the Lord Jesus Christ.",424
Ordinary Time,21,Sunday,,A,Psalm 138:1-2.2-3.6.8 (R. 8a),"Your love, O Lord, is eternal, discard not the work of your hands.",Matthew 16:18,You are Peter and on this rock I will build my Church. And the gates of the underworld can never hold out against it.,
Ordinary Time,21,Sunday,,B,Psalm 34:2-3.16-17.20-21.22-23 (R. 9a),Taste and see that the Lord is good.,John 6:63c.68c,"Your words are spirit, Lord, and they are life; you have the message of eternal life.",
Ordinary Time,21,Sunday,,C,Psalm 117:1.2 (R. cf. Mark 16:15),Go out to the whole world; proclaim the Good News.,John 14:6,"I am the Way, the Truth and the Life, says the Lord; no one can come to the Father except through me.",
Ordinary Time,21,Monday,I,,"Psalm 149.1-2, 3-4, 5, 6a+9b (R.4a)",The Lord takes delight in his people.,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",425
